# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALMS	NOTE	BORROWING	CHINESE	COGID	COGS	HANZI	MORPHEME_STRUCTURE
21390	QiangicZhaba	ant	the ant	po⁵⁵ʐo⁵⁵	p o ⁵⁵ ◦ ʐ o ⁵⁵	- - - - - - - - - - - - - - p o ⁵⁵ ◦ - - - - - - - - - - - - - - ʐ o - ⁵⁵ ( - - - - - - - - - - - - - )				2954			
21506	DengDarangTaraon	ant	the ant	kɯ³¹jɯ⁵³	k ɯ ³¹ ◦ j ɯ ⁵³	k ɯ ³¹ ◦ - j ɯ - ⁵³				29743			
38012	Tangut		the ant	kjiwr	k ji w r					2954		蟻	
38571	Rabha	ant	the ant	soŋ-so-mar	s o ŋ + s o + m a r					10500			
36525	SiniticChaozhou		the ant	hia³⁵	h i a ³⁵	- - - - - h i a ³⁵ ( - - - - )	mattis-2 yunfan-1			1705	6	蟻	the-6
36527	SiniticJieyang		the ant	hia³⁵	h i a ³⁵	- - - - - h i a ³⁵ ( - - - - )	mattis-2 yunfan-1			1705	6	蟻	the-6
23338	TaniBokar	ant	the ant	ta ruk	t a + r u k	- - - - - - - - t a + - - - - - - - - - - - - - - - - - - - - - r u k - ( - - - - - - - - - - - - - )				2954			
34113	BurmishXiandao	ant 2	the ant	chaŋ³¹m̥an⁵⁵	cʰ a ŋ ³¹ + m̥ a n ⁵⁵	cʰ a ŋ ³¹ + m̥ a n ⁵⁵				880	982 976		ant1 ant2
24605	DengYidu	ant	the ant	pɑ³¹si⁵⁵	p ɑ ³¹ ◦ s i ⁵⁵	p ɑ ³¹ ◦ s i ⁵⁵				2910			
24706	NungicDulong	ant	the ant	ɕɯ⁵⁵ɹɔʔ⁵⁵	ɕ ɯ ⁵⁵ + ɹ ɔ ʔ ⁵⁵	- - - - - - - - - - - - - - - - - - - - - - ɕ ɯ ⁵⁵ + - - - - - - ɹ ɔ ʔ - ( ⁵⁵ - - - - - - - - - - - - )				2954			
34109	BurmishAtsi	ant 1	the ant	pau⁵¹voʔ⁵⁵	p a u ⁵¹ + v o ʔ ⁵⁵	p a u ⁵¹ - - - - + - - - v - o ʔ - ⁵⁵ - - -				2954	16 15		insect ant
35750	KirantiBahing	ant (n)	the ant	gatsiŋma, gaːtsiŋma	g a ts i ŋ m a	g a ts i ŋ m a				943			
25256	rGyalrongDaofu	ant	the ant	skhro	s kʰ r o	- - - - - - - - - - - - - - - - - - - - - - s - - - - - - kʰ - - r o - - ( - - - - - - - - - - - - - )	!			2954			
25807	rGyalrongJaphug	ant	the ant	qro	q r o	- - - - - - - - - - - - - - - - - - - - - - - - - - - - - q - - r o - - ( - - - - - - - - - - - - - )				2954			
38327	Karbi		the ant	misò	m i s ò		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «miso» (page: 190)			10501			
34523	BurmishRangoon		the ant	pɑ⁵³jwɛʔ⁴sheʔ⁴	p ɑ ⁵³ + j w ɛ ʔ ⁴ + sʰ e ʔ ⁴	p ɑ ⁵³ + j w ɛ ʔ ⁴ + sʰ e ʔ ⁴ - -				2954	16 15 14		
31807	ChepangChepang	ant (sp.), small black ant with several varieties	the ant	koŋ.rok	k o ŋ + r o k	k o ŋ + - - - - - - - - - - - - - - - - - - - - - - - - - - - - r o k - ( - - - - - - - - - - - - - )				2954			
37603	NagaUkhrul	ant	the ant	ca-liŋ	c a + l i ŋ	c a + l i ŋ				29744			
37805	KirantiHayu	ant (n)	the ant	tsikibʊʔla	ts i k i b ʊ ʔ l a	ts i k i b ʊ ʔ l a - - - - -				2549			
30503	KirantiKhaling		the ant	khelem	kh e l e m	kh e - l e m				648			
30759	SiniticOldChinese		the ant	m→qʰajʔ	m + qʰ a j ʔ	m + - - - qʰ a j ʔ ( - - - - )			蚂蚁	1705		蟻	_m-prefix the-6
31114	BurmishOldBurmese		the ant	pu◦ro₁k◦chip	p u + r o₁ k + ch i p	- - - - - - - - - - - - - - p u + - - - - - - - - - - - - - - - r o₁ k - ( - - - - - - - - - + ch i p )				2954			
14891	TibetanXiahe	ant	the ant	mbə tɕaχ ma	m b ə _ tɕ a χ _ m a	- - - - - - - - - - - m b ə _ - - - - - - - - - - - - - - - tɕ - - - a χ - ( - - - - - _ m a - - - - - )	!			2954			
30760	SiniticOldChinese		the ant	qʰˤoʔ	qʰˤ o ʔ	- - - - - - - - - - - - qʰˤ - o ʔ - - - - -	WT grog-ma, etc.		蚂蚁	2954		蚼	the-1187
31522	KirantiLimbu		the ant	sikcemba	s i k c e m p a	s i k - - - - - - c e m p a				2549			
31554	KhroskyabsWobzi		the ant	skʰrɑ̂ɣ	s kʰ r ɑ̂ ɣ	- - - - - - - - - - - - - - - - - - - - - - s - - - - - - kʰ - - r ɑ̂ ɣ - ( - - - - - - - - - - - - - )				2954			
15207	BodicTshangla	ant	the ant	khaŋ dʑi la	kh a ŋ _ dʑ i _ l a	kh a ŋ _ dʑ i _ l a				3740			
32073	GaroGaro	ant (n)	the ant	sim-il-chak	s i m + i l + ch a k	s i m + i l + ch a k				3916			
32354	TibetanOldTibetan		the ant	grog ma	g r o g + m a	- - - - - - - - - - - - - - - - - - - - - - - - - - - - - g - - r o g - ( - - - - - + m a - - - - - )	not in OT?			2954			
32452	KirantiThulung		the ant	khalem	kh a l e m	kh a - l e m				648			
32644	ChinHakha	ant (n.)	the ant	hngerhte	hng e r ht e	hng e r ht e	[full entry: ]			4114			
#
16623	JingphoJingpho	bamboo	the bamboo	kă⁵⁵|wa⁵⁵	k ă ⁵⁵ ◦ w a ⁵⁵	- k ă ⁵⁵ ◦ - - w a - ⁵⁵ - -	!			501			
16736	BodicTshangla	bamboo	the bamboo	so	s o	s o				292			
33235	TibetoKinauriByangsi	bamboo	the bamboo	yelba:	j e l b aː	j e l b aː				367			
33458	TibetoKinauriRongpo	bamboo	the bamboo	bãs	b ã s	- - - - - - - b ã - s - -		IA		29834			
38368	Karbi		the bamboo	chèk	ch è k		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «kepho [...]» (page: 199)			10525			
33684	KirantiKulung	bamboo (n.)	the bamboo	baphu	b a pʰ u	- - - - - - - b a - - pʰ u	Nepali: bāṃs. (Tolsma1999)			501			
17613	rGyalrongMaerkang	bamboo	the bamboo	ɟjo	ɟ j o	- ɟ j o				821			
34146	BurmishAtsi	bamboo	the bamboo	va²¹	v a ²¹	- - - - - - - v a - ²¹ - -				501	31		bamboo
34147	BurmishBola	bamboo	the bamboo	va³¹	v a ³¹	- - - - - - - v a - ³¹ - -				501	31		bamboo
34150	BurmishMaru	bamboo	the bamboo	vɔ³⁵	v ɔ ³⁵	- - - - - - - v ɔ - ³⁵ - -				501	31		bamboo
17926	TibetanLhasa	bamboo	the bamboo	ȵuŋ⁵⁵mə⁵⁵	ȵ u ŋ ⁵⁵ ◦ m ə ⁵⁵	- ȵ - u ŋ ⁵⁵ ( ◦ m ə ⁵⁵ )				952			
34365	BurmishAchang	bamboo	the bamboo	o³¹	o ³¹	- - - - - - - - o ³¹ - - -				501	31		bamboo
34649	BurmishRangoon		the bamboo	wɑ⁵⁵	w ɑ ⁵⁵	- - - - - - - w ɑ - ⁵⁵ - -				501	31		
22169	TibetanXiahe	bamboo	the bamboo	hȵɯx ma	h ȵ ɯ x _ m a	h ȵ - ɯ x - ( _ m a - )				952			
18839	rGyalrongDaofu	bamboo	the bamboo	ʁɮə	ʁ ɮ ə	ʁ ɮ - ə	!			821			
35751	KirantiBahing	bamboo (n)	the bamboo	palam	p a l a m	p a l a m				1385			
19552	TibetanBatang	bamboo	the bamboo	ȵu⁵⁵ma⁵³	ȵ u ⁵⁵ ◦ m a ⁵³	- ȵ - u - ⁵⁵ ( ◦ m a ⁵³ )				952			
35977	MizoLushai	bamboo	the bamboo	mau	m a u	m a u				1510			
35978	MizoLushai	bamboo	the bamboo	rua	r u a	- - - - - - r - u a - - -				501			
36534	SiniticBeijing	bamboo	the bamboo	tʂu⁵⁵tsɿ⁰	tʂ u ⁵⁵ ts ɿ ⁰	tʂ - u - ⁵⁵ ( ts ɿ ⁰ )			竹子	1711	12 13	竹子	the-12 _the-13
36536	SiniticChaozhou		the bamboo	tɛk²	t ɛ k ²	t - ɛ k ² ( - - - )				1711	12	竹	the-12
36537	SiniticLonggang		the bamboo	tsʊk³	ts ʊ k ³	ts - ʊ k ³ ( - - - )	I!	< LMC		29968	12	竹	the-12
36538	SiniticJieyang		the bamboo	tɛk²	t ɛ k ²	t - ɛ k ² ( - - - )				1711	12	竹	the-12
21090	TibetanAlike	bamboo	the bamboo	rȵ̥uk mæ	r ȵ̥ u k _ m æ	r ȵ̥ - u k - ( _ m æ - )	!			952			
21412	QiangicZhaba	bamboo	the bamboo	mɛ⁵⁵	m ɛ ⁵⁵	m ɛ ⁵⁵				3481			
37806	KirantiHayu	bamboo (n)	the bamboo	pholo	pʰ o l o	pʰ o l o				1385			
37807	KirantiHayu	bamboo (n)	the bamboo	cayi	c a j i	c a j i				2184			
21521	DengDarangTaraon	bamboo	the bamboo	tɑ³¹liɑ⁵³	t ɑ ³¹ ◦ l i ɑ ⁵³	t ɑ ³¹ ◦ - - - - - - - - l i ɑ ⁵³				2222			
38050	Tangut		the bamboo	lhju.	lh ju.					821		竹	
38575	Rabha	bamboo	the bamboo	bá	b á					501			
36535	SiniticGuangzhou	bamboo	the bamboo	tsʊk⁵	ts ʊ k ⁵	ts - ʊ k ⁵ ( - - - )			竹	1711	12	竹	the-12
36539	SiniticXingning		the bamboo	tʂuʔ²ti²¹	tʂ u ʔ ² t i ²¹	tʂ - u ʔ ² ( t i ²¹ )	I!	< LMC		30049	12 327	竹囗	the-12 _the-327
33856	KirantiKhaling		the bamboo	pɛ̂ːp	p ɛ̂ː p	- - - - - - - p ɛ̂ː p - - -				501			
33862	KirantiBantawa	bamboo (generic term), bamboo plant	the bamboo	samba	s a m b a	s a - - - m - b a - - - -				501			
23290	LoloishLisu	bamboo	the bamboo	mɑ̱³³dɑ³³	m ɑ̱ ³³ d ɑ ³³	m ɑ̱ ³³ d ɑ ³³				2631			
23357	TaniBokar	bamboo (thin, fine)	the bamboo	jɑːlɯ	j ɑː l ɯ	j ɑː l ɯ	!			3066			
24619	DengYidu	bamboo	the bamboo	ɑ³¹bɹɑ³⁵liɑ⁵⁵	ɑ ³¹ ◦ b ɹ ɑ ³⁵ ◦ l i ɑ ⁵⁵	- - - - ɑ ³¹ ◦ b ɹ ɑ ³⁵ ◦ l i ɑ ⁵⁵				2222			
24951	TaniBokar	bamboo (thick, coarse)	the bamboo	jaː	j aː	j aː - -				3066			
25191	NungicDulong	bamboo	the bamboo	ɹɯ³¹mɑŋ⁵⁵	ɹ ɯ ³¹ + m ɑ ŋ ⁵⁵	ɹ ɯ ³¹ + m ɑ ŋ ⁵⁵				3011			
25809	rGyalrongJaphug	bamboo	the bamboo	ɟu	ɟ u	- ɟ - u				821			
34386	BurmishXiandao	bamboo	the bamboo	o³¹	o ³¹	- - - - - - - - o - ³¹ - -				501	31		bamboo
34149	BurmishLashi	bamboo	the bamboo	wo³³	w o ³³	- - - - - - - w o - ³³ - -				501	31		bamboo
37605	NagaUkhrul	bamboo	the bamboo	kə-ha-tʰiŋ	k ə + h a + tʰ i ŋ	k ə + h a + tʰ i ŋ				2059			
30504	KirantiLimbu		the bamboo	pha	ph a	- - - - - - - ph a - - - -				501			
30505	KirantiKhaling		the bamboo	tēr	t ē r	t ē r				3557			
30763	SiniticOldChinese		the bamboo	truk	t r u k	t r u k - ( - - - )			竹子	1711		竹	the-12
31116	BurmishOldBurmese		the bamboo	vāḥ	v ā ḥ	- - - - - - - v ā - ḥ - -				501			
31557	KhroskyabsWobzi		the bamboo	ʁjû	ʁ j û	ʁ j - û				821			
31812	ChepangChepang	bamboo (sp.) (B)	the bamboo	riŋ	r i ŋ	r i ŋ				3794			
32075	GaroGaro	bamboo (n)	the bamboo	wa•-	w a ʔ	- - - - - - - w a - ʔ - -				501			
32357	TibetanOldTibetan		the bamboo	smʲug	s m j u g	s m j u g - ( - - - - )				952			
32454	KirantiThulung		the bamboo	lju:	l j uː	- l j uː				821			
32647	ChinHakha	bamboo (n.)	the bamboo	rua , mau	r û a	- - - - - - r - û a - - -				501			
#
16402	JingphoJingpho	belly	the belly	ka̱n³³	k a̱ n ³³	k a̱ n ³³				10221			
443	TibetanOldTibetan	belly	the belly	pʰo.ba	pʰ o b a	- - pʰ o - - - b a - - - - -			肚子	1298		肚	
456	KirantiKhaling	belly	the belly	mupu	m u p u	m u p u - - - - - - - - - -	doubtful		肚子	10241		肚	
457	KirantiLimbu	belly	the belly	sappok	s a pp o k	s a - - - - - - pp o k - -			肚子	10241		肚	
472	rGyalrongJaphug	belly	the belly	tɯ-xtu	t ɯ ◦ x t u	( t ɯ ◦ ) x t u			肚子	370		肚	
33686	KirantiKulung	belly (n.)	the belly	bɔ	b ɔ	- - - - - - - - b ɔ - - -	Nepali: peṭ. (Tolsma1999)			10241			
32960	TibetoKinauriBunan	belly, stomach	the belly	dan	d a n	d a n	Comment (by Widmer2014): «WT dang ga ~ dang kha (ArTBL))»			168			
17691	TibetanLhasa	belly	the belly	tʂho¹³ko⁵²	tʂh o ¹³ ◦ k o ⁵²	tʂh o ¹³ ( ◦ k o ⁵² )				863			
34192	BurmishMaru	belly	the belly	vẽ³⁵tuk³¹	v ẽ ³⁵ + t u k ³¹	v ẽ ³⁵ + t u - k ³¹				908	83 85		
34738	BurmishRangoon		the belly	bɑiʔ⁴	b ɑ i ʔ ⁴	b ɑ i ʔ ⁴				1086	84		
19069	NungicDulong	belly	the belly	pɯ³¹wɑ⁵⁵	p ɯ ³¹ + w ɑ ⁵⁵	- - p ɯ - ³¹ + w ɑ ⁵⁵ - - - -				1298			
476	Tangut	belly	the belly	.o¹	o ¹				肚子	10241		肚	
35752	KirantiBahing	stomach (n)	the belly	koːdza	k oː d z a	k oː d z a				1386			
35979	MizoLushai	belly	the belly	pum	p u m	p u m				1511			
19808	TibetanBatang	belly	the belly	tʂᴜ¹³pa⁵³	tʂ ᴜ ¹³ ◦ p a ⁵³	tʂ ᴜ ¹³ ( ◦ p a ⁵³ )				863			
36540	SiniticBeijing		the belly	tu⁵¹tsɿ⁰	t u ⁵¹ ts ɿ ⁰	t u ⁵¹ ts ɿ ⁰ - - -				1712	329 330	肚子	the-329 _the-330
36542	SiniticChaozhou		the belly	tou¹³	t o u ¹³	t o u ¹³ - - - - -	Norman gives CZ tou33 (tone 4) which would be the inherited layer			1712	329	肚	the-329
36543	SiniticLonggang		the belly	tu³³pʰat⁵	t u ³³ pʰ a t ⁵	t u ³³ pʰ a t ⁵ - -	mattis-5 yunfan-1			1712	329 334	肚腹	the-329 _the-334
36545	SiniticXingning		the belly	tu²¹ʂɿ²¹	t u ²¹ ʂ ɿ ²¹	t u ²¹ ʂ ɿ ²¹ - - -				1712	329 337	肚屎	the-329 _the-337
20259	DengYidu	belly	the belly	khɹɑ³¹poŋ³⁵	kh ɹ ɑ ³¹ ◦ p o ŋ ³⁵	kh ɹ ɑ ³¹ ◦ p o ŋ ³⁵				2600			
21043	LoloishLisu	belly	the belly	hẽ̱³¹khi³¹	h ẽ̱ ∼ ³¹ ◦ kh i ³¹	h ẽ̱ ∼ ³¹ ◦ kh i ³¹				1974			
21179	QiangicZhaba	belly	the belly	vei¹³	v e i ¹³	- - v e i ¹³ - - - - - - - -				10242			
37606	NagaUkhrul	belly (exterior)	the belly	ʔa-wuk	ʔ a + w u k	- - ʔ a + - - - w u k - -				10241			
21314	DengDarangTaraon	belly	the belly	kɯ³¹jɯŋ⁵⁵	k ɯ ³¹ ◦ j ɯ ŋ ⁵⁵	k ɯ ³¹ ◦ j ɯ ŋ ⁵⁵				2115			
37808	KirantiHayu	belly (n)	the belly	soːgali	s oː g a l i	s oː g a l i				2185			
37809	KirantiHayu	stomach (n)	the belly	mʊːli	m ʊː l i	m ʊː l i				3490			
21967	TibetanXiahe	belly	the belly	ho	h o	- - h o - - - - - - - - - -				1298			
38467	Karbi		the belly	pok	p o k		from :cite:Walker1925<br>page in :cite:Walker1925 204			10241			
38583	Rabha	belly	the belly	bokdom	b o k d o m					10241			
36541	SiniticGuangzhou		the belly	tʰou²³	tʰ o u ²³	tʰ o u ²³ - - - - -				1712	329	肚	the-329
36544	SiniticJieyang		the belly	tou¹³	t o u ¹³	t o u ¹³ - - - - -	proto-Min *-o			1712	329	肚	the-329
33865	KirantiBantawa	belly, stomach	the belly	buk	b u k	- - - - - - - - b u k - -				10241			
34191	BurmishBola	belly	the belly	vɛ³¹tau³¹	v ɛ ³¹ + t a u ³¹	v ɛ ³¹ + t a u - ³¹				908	83 85		belly-1 belly-1
23143	TaniBokar	belly	the belly	kiː◦poŋ	k iː p o ŋ	k iː p o ŋ	!			2600			
24968	BodicTshangla	belly	the belly	pho laŋ	pʰ o _ l a ŋ	- - pʰ o - - - - - - _ l a ŋ				1298			
25645	rGyalrongMaerkang	belly	the belly	tə pok	t ə _ p o k	- - - - - t ə _ p o k - -	!			10241			
38769	BurmishAtsi		the belly	vam²¹	v a m ²¹	v a m ²¹				908			
18629	rGyalrongDaofu	belly	the belly	vo	v o	- - v o - - - - - - - - - -				10241			
32077	GaroGaro	belly; stomach (n)	the belly	bik-ma	b i k m a	- - - - - - - - b i k m a	there is a variant buk-ma			10241			
30766	SiniticOldChinese		the belly	puk	p u k	- - - - - - - - p u k - -			肚子	10241		腹	the-334
31117	BurmishOldBurmese		the belly	po₂k	p o₂ k	- - - - - - - - p o₂ k - -				10241			
33236	TibetoKinauriByangsi	belly	the belly	dan	d a n	d a n				168			
31560	KhroskyabsWobzi		the belly	jdû	j d û	( - - - ) j d û				370			
38697	BurmishAchang		the belly	ɔm³¹tau³¹	ɔ m ³¹ + t a u ³¹	ɔ m ³¹ + t a u ³¹				908			
31814	ChepangChepang	belly, stomach (B)	the belly	yoŋ	j o ŋ	- - - - j o ŋ -				2115			
38722	BurmishXiandao		the belly	om³¹	o m ³¹	o m ³¹				908			
38723	BurmishLashi		the belly	wɔm³³tou³³	w ɔ m ³³ t o u ³³	w ɔ m ³³ t o u ³³				908			
32456	KirantiThulung		the belly	hombe	h o m b e	h o m b e				4068			
16156	TibetanAlike	belly	the belly	ho	h o	- - h o - - - - - - - - - -				1298			
32650	ChinHakha	belly (n.)	the belly	paw	p aw	- - p aw - - - - - - - - - -				1298			
#
16576	JingphoJingpho	bird	the bird	u³¹nam³¹tʃi³³	u ³¹ ◦ n a m ³¹ ◦ tʃ i ³³	u ³¹ ◦ n a m ³¹ ◦ tʃ i ³³				780			
33080	TibetoKinauriBunan	bird	the bird	pjatsi	p j a ts i	- - - - - - - - p j a ts i -	Comment (by Widmer2014): «WT bya / PTB *bja»	Tibetan[bya]		29797			
33237	TibetoKinauriByangsi	bird	the bird	ciptsɛ	c/tʃ i p ts ɛ	c/tʃ i p ts ɛ				368			
602	TibetanOldTibetan	bird	the bird	bʲa	b ʲ a	- - - - - - - - b ʲ a - - -			鸟	264		鳥	
615	KirantiKhaling	bird	the bird	sʌ̄lpu	s ʌ̄ l p u	s ʌ̄ l p u			鸟	452		鳥	
616	KirantiLimbu	bird	the bird	pu¹	p u ¹	p u ¹			鸟	1696		鳥	
631	rGyalrongJaphug	bird	the bird	pɣa	p ɣ a	p ɣ a - - -			鸟	462		鳥	
635	Tangut	bird	the bird	.we¹	w e ¹				鸟	462		鳥	
33459	TibetoKinauriRongpo	bird	the bird	pec	p e tʃ	- - - - - - - - p - e tʃ - -				264			
33687	KirantiKulung	bird (n.)	the bird	chɔwa	tʃʰ ɔ w a	tʃʰ ɔ - w a	Nepali: carā. (Tolsma1999)			650			
17534	BodicTshangla	bird	the bird	kha	kh a	kh a				778			
17559	rGyalrongMaerkang	bird	the bird	pɑ tsɑ	p ɑ _ ts ɑ	p - ɑ _ ts ɑ				462			
34200	BurmishAchang	bird	the bird	m̥ɔʔ⁵⁵	m̥ ɔ ʔ ⁵⁵	m̥ ɔ ʔ ⁵⁵				910	87		bird
34202	BurmishBola	bird	the bird	ŋa̱ʔ⁵⁵	ŋ a̰ ʔ ⁵⁵	ŋ a̰ ʔ ⁵⁵				910	87		bird
34204	BurmishMaru	bird	the bird	ŋɔ̱ʔ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵				910	87		bird
34205	BurmishXiandao	bird	the bird	ŋ̊ɔʔ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵				910	87		bird
17875	TibetanLhasa	bird	the bird	tɕha¹³	tɕʰ a ¹³	- - - - - - - - - - - tɕʰ a ¹³				264			
34670	BurmishRangoon		the bird	ŋ̊ɛʔ⁴	ŋ̊ ɛ ʔ ⁴	ŋ̊ ɛ ʔ ⁴				910	87		
18787	rGyalrongDaofu	bird	the bird	vdʑɛ vdʑu	v dʑ ɛ + v dʑ u	v dʑ ɛ + v dʑ u -	!			1236			
19214	NungicDulong	bird	the bird	pɯ³¹tɕiʔ⁵⁵	p ɯ ³¹ + tɕ i ʔ ⁵⁵	p ɯ ³¹ + tɕ i ʔ ⁵⁵				1339			
35753	KirantiBahing	bird (n)	the bird	tsikʔba	ts i k ʔ b a	ts i k ʔ ( b a - - )				1387			
36550	SiniticBeijing		the bird	niɑor²¹⁴	n i ɑ o/r ²¹⁴	n i ɑ o/r ²¹⁴ - ( - - - - )	cognate w/  MC tewX assuming change from t- to n- to avoid homophony with 'fuck'			10146	345	鳥	the-345
36552	SiniticChaozhou		the bird	tsiou⁵³	ts i o u ⁵³	ts i o u ⁵³ - ( - - - - )				10147	345	鳥	the-345
36553	SiniticLonggang		the bird	tiau³⁵tsai³²	t i a u ³⁵ ts a i ³²	t i a u ³⁵ - ( ts a i ³² )	mattis-5 yunfan-1			10146	345 348	鳥仔	the-345 _the-348
36554	SiniticJieyang		the bird	tsiau³¹	ts i a u ³¹	ts i a u ³¹ - ( - - - - )				10147	345	鳥	the-345
36555	SiniticXingning		the bird	tiɑɔ²⁴ti²¹	t i ɑ ɔ ²⁴ t i ²¹	t i ɑ ɔ ²⁴ - ( t i - ²¹ )	mattis-7 yunfan-1			10146	345 349	鳥囗	the-345 _the-349
36556	SiniticGuangzhou		the bird	tsœk³₃₅	ts œ k ³₃₅	ts œ k ³₃₅ - - - -	mattis-8 yunfan-3			1713	350	雀	the-350
20818	TibetanBatang	bird	the bird	ɕy¹³	ɕ y ¹³	- - - - - - - - - - - ɕ y ¹³				264			
21359	QiangicZhaba	bird	the bird	ptsia³³ptsi⁵⁵	p ts i a ³³ ◦ p ts i ⁵⁵	p ts i a ³³ - - ◦ p - - ts i ⁵⁵		Tib		30028			
21485	DengDarangTaraon	bird	the bird	piɑ⁵⁵	p i ɑ ⁵⁵	p i ɑ ⁵⁵ - - -				2205			
37997	Tangut		the bird	dʑjwow	dʑ jwo w					3735		鳥	
38311	Karbi		the bird	vōtèk	v ō t è k		from :cite:Konnerth2014, refers to «wild bird»<br>:cite:Walker1925 entry: «vo; (-- -cage) voum; -- -net) phamsek.» (page: 206)			10267			
22121	TibetanXiahe	bird	the bird	ɕa	ɕ a	- - - - - - - - - - - ɕ a -				264			
38565	Rabha	bird	the bird	tó	t ó					10146			
33868	KirantiBantawa	bird (generic term)	the bird	cʰoŋwa	tsʰ o ŋ w a	tsʰ o ŋ w a				650			
23244	LoloishLisu	bird	the bird	niɛ³⁵	n iɛ ³⁵	n iɛ - ³⁵				910			
23314	TaniBokar	bird	the bird	pə taŋ	p ə + t a ŋ	p ə + t a ŋ				2635			
24771	DengYidu	bird	the bird	pɹɑ⁵⁵ɑ⁵⁵	p ɹ ɑ ⁵⁵ ◦ ɑ ⁵⁵	p ɹ ɑ ⁵⁵ ◦ ɑ ⁵⁵	!			2205			
34203	BurmishLashi	bird	the bird	ŋɔ̱ʔ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵				910	87		bird
25648	TibetanAlike	bird	the bird	wɕæ	w ɕ æ	- - - - - - - - w - - ɕ æ -	!			264			
34201	BurmishAtsi	bird	the bird	ŋo̱ʔ⁵⁵	ŋ o̰ ʔ ⁵⁵	ŋ o̰ ʔ ⁵⁵				910	87		bird
37607	NagaUkhrul	bird	the bird	va-naw	v a + n a w	- - - v a + n a w				10267			
37810	KirantiHayu	bird (general, excluding the largest species) (n)	the bird	tsixtsi	ts i x ts i	ts i x - ( - - ts i )				1387			
31118	BurmishOldBurmese		the bird	ṅhak	ṅh a k	ṅh a k -				910			
31563	KhroskyabsWobzi		the bird	jmbjə̂mpɑ	j m b j ə̂ m p ɑ	j m b j ə̂ m p ɑ				3735			
31817	ChepangChepang	bird (sp.)	the bird	waʔ	w a ʔ	- - - w a ʔ - - -				10267			
35980	MizoLushai	bird	the bird	sa◦va	s a + v a	s a + v a - - - -				10267			
32080	GaroGaro	bird (n)	the bird	do•-	d o ʔ	d - o - - ʔ ( - - - - )	PBG (Joseph and Burling) *tao2			10146			
32457	KirantiThulung		the bird	tsʌkpu	ts ʌ k p u	ts ʌ k - ( p u - - )				1387			
32653	ChinHakha	bird (n.)	the bird	vate;	v aà	- - - v aà - - - -	[full entry: bird's eye view = cunglei in vun cuanh. bird]			10267			
30769	SiniticOldChinese		the bird	tˤewʔ	tˤ e w ʔ	tˤ - e w - ʔ ( - - - - )			鸟	10146		鳥	the-345
#
16422	JingphoJingpho	blood	the blood	sai³¹	s a i ³¹	( - - - - - - - - - - - - - - - - - - ) s - a i - ( ³¹ - - - - )				29703			
32954	TibetoKinauriBunan	blood	the blood	ɕu	ɕ u	( - - - - - - - - - - - - - - - - - - ) ɕ - u - - ( - - - - - )	Comment (by Widmer2014): «- / PTB *s-hywəy»			29703			
16573	BodicTshangla	blood	the blood	ji	j i	( - - - - - - - - - - - - - - - - - - ) j - i - - ( - - - - - )				29703			
33238	TibetoKinauriByangsi	blood	the blood	ʃı̀	ʃ ı̀	( - - - - - - - - - - - - - - - - - - ) ʃ - ı̀ - - ( - - - - - )				29703			
761	TibetanOldTibetan	blood	the blood	kʰrag	kʰ r a g	kʰ r a g -			血	541		血	
790	rGyalrongJaphug	blood	the blood	tɤ-se	t ɤ ◦ s e	( - - - - - - - - - - - - - - - t ɤ ◦ ) s - e - - ( - - - - - )			血	29703		血	
794	Tangut	blood	the blood	sjij¹	s j i j ¹				血	29703		血	
33871	KirantiBantawa	blood	the blood	hɨ	h ɨ	( - - - - - - - - - - - - - - - - - - ) h - ɨ - - ( - - - - - )				29703			
19317	rGyalrongMaerkang	blood	the blood	tɑ ʃi	t ɑ _ ʃ i	( - - - - - - - - - - - - - - - t ɑ _ ) ʃ - i - - ( - - - - - )				29703			
17720	TibetanLhasa	blood	the blood	tʂha⁵²	tʂh a ⁵²	tʂh - a - ⁵²				541			
34227	BurmishBola	blood	the blood	sui³⁵	s u i ³⁵	( - - - - - - - - - - - - - - - - - - ) s - u i - ( ³⁵ - - - - )				29703	93		blood
34228	BurmishMaru	blood	the blood	sa³⁵	s a ³⁵	( - - - - - - - - - - - - - - - - - - ) s - a - - ( ³⁵ - - - - )				29703	93		
34702	BurmishRangoon		the blood	tθwe⁵⁵	tθ w e ⁵⁵	( - - - - - - - - - - - - - - - - - - ) tθ w e - - ( ⁵⁵ - - - - )				29703	93		
18645	rGyalrongDaofu	blood	the blood	she	sʰ e	( - - - - - - - - - - - - - - - - - - ) sʰ - e - - ( - - - - - )				29703			
19092	NungicDulong	blood	the blood	ɕɯi⁵⁵	ɕ ɯ i ⁵⁵	( - - - - - - - - - - - - - - - - - - ) ɕ - ɯ i - ( ⁵⁵ - - - - )				29703			
