ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
3700	Alyawarr	alya1239	BREAST		ijlpac	i j l p a c	i y l p a T	V J R P V K	I J L P A C	BREAST:1630	1630
3704	Arabana	arab1267	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3708	Yugambeh-Bandjalang	band1339	BREAST		gɹoːm	g ɹ oː m	g r o m	K R V M	K R U M	BREAST:1636	1636
3718	Dhangu	dhan1270	BREAST		ŋamini	ŋ a m i n i	N a m i n i	N V M V N V	N A M I N I	BREAST:1665	1665
3720	Sydney	sydn1236	BREAST		mapal	m a p a l	m a p a l	M V P V R	M A P A L	BREAST:1623	1623
3725	Dhuwal	dhuw1249	BREAST		ŋamini	ŋ a m i n i	N a m i n i	N V M V N V	N A M I N I	BREAST:1665	1665
3727	Dieri	dier1241	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3728	Dyaabugay	dyaa1242	BREAST		ŋamun	ŋ a m u n	N a m u n	N V M V N	N A M Y N	BREAST:1637	1637
3729	Djambarrpuyngu	djam1256	BREAST		ŋamini	ŋ a m i n i	N a m i n i	N V M V N V	N A M I N I	BREAST:1665	1665
3731	Djinang	djin1253	BREAST		ŋaman	ŋ a m a n	N a m a n	N V M V N	N A M A N	BREAST:1614	1614
3736	Gamilaraay	gami1243	BREAST		namoː	n a m oː	n a m o	N V M V	N A M U	BREAST:1614	1614
3742	Kumbainggar	kumb1268	BREAST		ŋuduːmː	ŋ u d uː mː	N u d u m	N V T V M	N Y T Y M	BREAST:1619	1619
3747	Gupapuyngu	gupa1247	BREAST		ŋamini	ŋ a m i n i	N a m i n i	N V M V N V	N A M I N I	BREAST:1665	1665
3748	Gurindji	guri1247	BREAST		ŋapulu	ŋ a p u l u	N a p u l u	N V P V R V	N A P Y L Y	BREAST:1616	1616
3751	Guyani	guya1249	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3752	Sydney	sydn1236	BREAST		nabaŋa	n a b a ŋ a	n a b a N a	N V P V N V	N A P A N A	BREAST:1626	1626
3753	Jaru	jaru1254	BREAST		namana	n a m a n a	n a m a n a	N V M V N V	N A M A N A	BREAST:1667	1667
3755	Djiwarli	djiw1241	BREAST		ŋaːɲ	ŋ aː ɲ	N a H	N V N	N A N	BREAST:1648	1648
3758	Kalkutung	kalk1246	BREAST		kan̪t̪aŋamaŋama	k a n̪ t̪ a ŋ a m a ŋ a m a	k a n t a N a m a N a m a	K V N T V N V M V N V M V	K A N T A N A M A N A M A	BREAST:1617	1617
3759	Gamilaraay	gami1243	BREAST		biɹi	b i ɹ i	b i r i	P V R V	P I R I	BREAST:1618	1618
3760	Karadjeri	kara1476	BREAST		ŋamaɳa	ŋ a m a ɳ a	N a m a n a	N V M V N V	N A M A N A	BREAST:1614	1614
3762	Kartujarra	kart1247	BREAST		ŋarka	ŋ a r k a	N a r k a	N V R K V	N A R K A	BREAST:1650	1650
3765	Kaurna	kaur1267	BREAST		kundomuka	k u n d o m u k a	k u n d o m u k a	K V N T V M V K V	K Y N T U M Y K A	BREAST:1617	1617
3772	Kukatja	kuka1246	BREAST		ŋabala	ŋ a b a l a	N a b a l a	N V P V R V	N A P A L A	BREAST:1616	1616
3773	Kuku-Yalanji	kuku1273	BREAST		bibi	b i b i	b i b i	P V P V	P I P I	BREAST:1644	1644
3779	Gurdjar	gurd1238	BREAST		joːŋ	j oː ŋ	y o N	J V N	J U N	BREAST:1654	1654
3780	Kuuku-Ya'u	kuuk1238	BREAST		ɲuːɲu	ɲ uː ɲ u	H u H u	N V N V	N Y N Y	BREAST:1638	1638
3782	Kala Lagaw Ya	kala1377	BREAST		da	d a	d a	T V	T A	BREAST:1666	1666
3788	Margany	marg1253	BREAST		ŋamun	ŋ a m u n	N a m u n	N V M V N	N A M Y N	BREAST:1614	1614
3789	Martu Wangka	mart1256	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3804	Mudburra	mudb1240	BREAST		ŋabulu	ŋ a b u l u	N a b u l u	N V P V R V	N A P Y L Y	BREAST:1616	1616
3806	Muruwari	muru1266	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3809	Ngaanyatjarra	ngaa1240	BREAST		mimi	m i m i	m i m i	M V M V	M I M I	BREAST:1657	1657
3812	Lower Riverland	lowe1402	BREAST		mumpuro	m u m p u r o	m u m p u r o	M V M P V R V	M Y M P Y R U	BREAST:1623	1623
3813	Ngamini	ngam1284	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3816	Ngarinman	ngar1235	BREAST		ŋabulu	ŋ a b u l u	N a b u l u	N V P V R V	N A P Y L Y	BREAST:1616	1616
3818	Ngarluma	ngar1287	BREAST		bibi	b i b i	b i b i	P V P V	P I P I	BREAST:1644	1644
3819	Narrinyeri	narr1259	BREAST		naŋgeɹal	n a ŋ g e ɹ a l	n a N g e r a l	N V N K V R V R	N A N K E R A L	BREAST:1621	1621
3827	Northern Coastal Nyangumarta	nort2754	BREAST		ŋamana	ŋ a m a n a	N a m a n a	N V M V N V	N A M A N A	BREAST:1614	1614
3828	Nyamal	nyam1271	BREAST		boːɖo	b oː ɖ o	b o d o	P V T V	P U T U	BREAST:1661	1661
3829	Nyangumarta	nyan1301	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3830	Nyunga	nyun1247	BREAST		manca	m a n c a	m a n T a	M V N K V	M A N C A	BREAST:1644	1644
3831	Paakantyi	darl1243	BREAST		ŋamo	ŋ a m o	N a m o	N V M V	N A M U	BREAST:1614	1614
3834	Panytyima	pany1241	BREAST		pipi	p i p i	p i p i	P V P V	P I P I	BREAST:1644	1644
3835	Banggarla	bang1339	BREAST		numːa	n u mː a	n u m a	N V M V	N Y M A	BREAST:1614	1614
3836	Bayungu	bayu1240	BREAST		kuɳdu	k u ɳ d u	k u n d u	K V N T V	K Y N T Y	BREAST:1617	1617
3841	Pitjantjatjara	pitj1243	BREAST		ipi	i p i	i p i	V P V	I P I	BREAST:1644	1644
3842	Pitta Pitta	pitt1247	BREAST		ŋamaɲa	ŋ a m a ɲ a	N a m a H a	N V M V N V	N A M A N A	BREAST:1614	1614
3845	Ritarungo	rita1239	BREAST		ŋamini	ŋ a m i n i	N a m i n i	N V M V N V	N A M I N I	BREAST:1665	1665
3846	Dhalandji	dhal1245	BREAST		cucu	c u c u	T u T u	K V K V	C Y C Y	BREAST:1622	1622
3847	Dhargari	dhar1247	BREAST		juɹu	j u ɹ u	y u r u	J V R V	J Y R Y	BREAST:1632	1632
3850	Wagaya	waga1260	BREAST		napulu	n a p u l u	n a p u l u	N V P V R V	N A P Y L Y	BREAST:1626	1626
3857	Ngura	ngur1261	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3862	Warlpiri	warl1254	BREAST		ŋapuɭu	ŋ a p u ɭ u	N a p u L u	N V P V R V	N A P Y L Y	BREAST:1616	1616
3864	Wanman	wanm1242	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3865	Wariyangga	wari1262	BREAST		juɹu	j u ɹ u	y u r u	J V R V	J Y R Y	BREAST:1632	1632
3866	Warumungu	waru1265	BREAST		ŋamuna	ŋ a m u n a	N a m u n a	N V M V N V	N A M Y N A	BREAST:1614	1614
3868	Wathawurrung	wath1238	BREAST		baːb	b aː b	b a b	P V P	P A P	BREAST:1624	1624
3872	Wik-Mungkan	wikm1247	BREAST		paːp	p aː p	p a p	P V P	P A P	BREAST:1624	1624
3873	Wiradhuri	wira1262	BREAST		namoŋ	n a m o ŋ	n a m o N	N V M V N	N A M U N	BREAST:1614	1614
3874	Wirangu-Nauo	wira1260	BREAST		moːndundoː	m oː n d u n d oː	m o n d u n d o	M V N T V N T V	M U N T Y N T U	BREAST:1614	1614
3880	Yan-nhangu	yann1237	BREAST		ŋamun	ŋ a m u n	N a m u n	N V M V N	N A M Y N	BREAST:1614	1614
3881	Yandruwandha	yand1253	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3884	Yawarawarga	yawa1258	BREAST		ŋama	ŋ a m a	N a m a	N V M V	N A M A	BREAST:1614	1614
3886	Yindjibarndi	yind1247	BREAST		biwi	b i w i	b i w i	P V W V	P I W I	BREAST:1644	1644
3890	Yorta Yorta	yort1237	BREAST		baji	b a j i	b a y i	P V J V	P A J I	BREAST:1629	1629
3892	Yulparitja	yulp1238	BREAST		ɲamaɳa	ɲ a m a ɳ a	H a m a n a	N V M V N V	N A M A N A	BREAST:1667	1667
3893	Yuwaalaraay	yuwa1242	BREAST		ŋamu	ŋ a m u	N a m u	N V M V	N A M Y	BREAST:1614	1614
3894	Adnyamathanha	adny1235	BREATHE		wiŋgu_jud̪n̪i	w i ŋ g u j u d̪ n̪ i	w i N g u y u d n i	W V N K V J V T N V	W I N K Y J Y T N I	BREATHE:1675	1675
3895	Alyawarr	alya1239	BREATHE		awejaŋkejel	a w e j a ŋ k e j e l	a w e y a N k e y e l	V W V J V N K V J V R	A W E J A N K E J E L	BREATHE:1687	1687
3896	Arabana	arab1267	BREATHE		ŋaɹuwaluwalunkata	ŋ a ɹ u w a l u w a l u n k a t a	N a r u w a l u w a l u n k a t a	N V R V W V R V W V R V N K V T V	N A R Y W A L Y W A L Y N K A T A	BREATHE:1677	1677
3897	Yugambeh-Bandjalang	band1339	BREATHE		buhwi_biɹa	b u h w i b i ɹ a	b u h w i b i r a	P V H W V P V R V	P Y H W I P I R A	BREATHE:1	1
3900	Sydney	sydn1236	BREATHE		ŋaina	ŋ a i n a	N a i n a	N V V N V	N A I N A	BREATHE:1683	1683
3902	Dieri	dier1241	BREATHE		ŋaɹawaluwalunkata	ŋ a ɹ a w a l u w a l u n k a t a	N a r a w a l u w a l u n k a t a	N V R V W V R V W V R V N K V T V	N A R A W A L Y W A L Y N K A T A	BREATHE:1670	1670
3903	Dyaabugay	dyaa1242	BREATHE		wajwaj_dabaj	w a j w a j d a b a j	w a y w a y d a b a y	W V J W V J T V P V J	W A J W A J T A P A J	BREATHE:1	1
3904	Djinang	djin1253	BREATHE		ŋalwaʈciŋilgi	ŋ a l w a ʈ c i ŋ i l g i	N a l w a t T i N i l g i	N V R W V T K V N V R K V	N A L W A T C I N I L K I	BREATHE:1671	1671
3906	Gamilaraay	gami1243	BREATHE		bulːwura	b u lː w u r a	b u l w u r a	P V R W V R V	P Y L W Y R A	BREATHE:1	1
3907	Kumbainggar	kumb1268	BREATHE		mujawa	m u j a w a	m u y a w a	M V J V W V	M Y J A W A	BREATHE:1688	1688
3909	Gupapuyngu	gupa1247	BREATHE		ŋaɹʔʲun	ŋ a ɹ ʔʲ u n	N a r 7 u n	N V R H V N	N A R H Y N	BREATHE:1670	1670
3910	Gurindji	guri1247	BREATHE		ŋajip_manana	ŋ a j i p m a n a n a	N a y i p m a n a n a	N V J V P M V N V N V	N A J I P M A N A N A	BREATHE:1694	1694
3912	Sydney	sydn1236	BREATHE		bome	b o m e	b o m e	P V M V	P U M E	BREATHE:1684	1684
3913	Jaru	jaru1254	BREATHE		boː	b oː	b o	P V	P U	BREATHE:1668	1668
3915	Djiwarli	djiw1241	BREATHE		ŋaːɲmaɹu	ŋ aː ɲ m a ɹ u	N a H m a r u	N V N M V R V	N A N M A R Y	BREATHE:1693	1693
3917	Gamilaraay	gami1243	BREATHE		bulːwura	b u lː w u r a	b u l w u r a	P V R W V R V	P Y L W Y R A	BREATHE:1	1
3918	Karadjeri	kara1476	BREATHE		boː	b oː	b o	P V	P U	BREATHE:1668	1668
3921	Kartujarra	kart1247	BREATHE		ŋanma	ŋ a n m a	N a n m a	N V N M V	N A N M A	BREATHE:1682	1682
3922	Kaurna	kaur1267	BREATHE		wiŋko_warondi	w i ŋ k o w a r o n d i	w i N k o w a r o n d i	W V N K V W V R V N T V	W I N K U W A R U N T I	BREATHE:1675	1675
3925	Kukatja	kuka1246	BREATHE		ŋaːɲ	ŋ aː ɲ	N a H	N V N	N A N	BREATHE:1693	1693
3926	Gurdjar	gurd1238	BREATHE		weːβ_ɖaj	w eː β ɖ a j	w e b d a y	W V P T V J	W E B T A J	BREATHE:1691	1691
3927	Kala Lagaw Ya	kala1377	BREATHE		ŋœna	ŋ œ n a	N E n a	N V N V	N U N A	BREATHE:1694	1694
3931	Margany	marg1253	BREATHE		buju_bicu	b u j u b i c u	b u y u b i T u	P V J V P V K V	P Y J Y P I C Y	BREATHE:1668	1668
3932	Martu Wangka	mart1256	BREATHE		ŋaːɲmanu	ŋ aː ɲ m a n u	N a H m a n u	N V N M V N V	N A N M A N Y	BREATHE:1693	1693
3935	Mudburra	mudb1240	BREATHE		ŋajib	ŋ a j i b	N a y i b	N V J V P	N A J I P	BREATHE:1694	1694
3937	Muruwari	muru1266	BREATHE		ŋaː	ŋ aː	N a	N V	N A	BREATHE:1686	1686
3938	Ngaanyatjarra	ngaa1240	BREATHE		ŋaːkampara	ŋ aː k a m p a r a	N a k a m p a r a	N V K V M P V R V	N A K A M P A R A	BREATHE:1695	1695
3939	Ngamini	ngam1284	BREATHE		ŋaɹawaluwalunkana	ŋ a ɹ a w a l u w a l u n k a n a	N a r a w a l u w a l u n k a n a	N V R V W V R V W V R V N K V N V	N A R A W A L Y W A L Y N K A N A	BREATHE:1670	1670
3940	Ngarinman	ngar1235	BREATHE		ŋajib_gariɲa	ŋ a j i b g a r i ɲ a	N a y i b g a r i H a	N V J V P K V R V N V	N A J I P K A R I N A	BREATHE:1694	1694
3941	Ngarluma	ngar1287	BREATHE		ŋajini	ŋ a j i n i	N a y i n i	N V J V N V	N A J I N I	BREATHE:1694	1694
3942	Narrinyeri	narr1259	BREATHE		ŋaɹadil	ŋ a ɹ a d i l	N a r a d i l	N V R V T V R	N A R A T I L	BREATHE:1680	1680
3944	Northern Coastal Nyangumarta	nort2754	BREATHE		ŋaɲcunu	ŋ a ɲ c u n u	N a H T u n u	N V N K V N V	N A N C Y N Y	BREATHE:1693	1693
3945	Nyamal	nyam1271	BREATHE		ŋaɲcu	ŋ a ɲ c u	N a H T u	N V N K V	N A N C Y	BREATHE:1	1
3946	Nyangumarta	nyan1301	BREATHE		ŋaɲcuɳa	ŋ a ɲ c u ɳ a	N a H T u n a	N V N K V N V	N A N C Y N A	BREATHE:1693	1693
3947	Nyunga	nyun1247	BREATHE		ŋaɲ	ŋ a ɲ	N a H	N V N	N A N	BREATHE:1693	1693
3948	Paakantyi	darl1243	BREATHE		ɖawi	ɖ a w i	d a w i	T V W V	T A W I	BREATHE:1674	1674
3950	Panytyima	pany1241	BREATHE		ŋajiɲmal	ŋ a j i ɲ m a l	N a y i H m a l	N V J V N M V R	N A J I N M A L	BREATHE:1694	1694
3951	Bayungu	bayu1240	BREATHE		ŋaːɲgarima	ŋ aː ɲ g a r i m a	N a H g a r i m a	N V N K V R V M V	N A N K A R I M A	BREATHE:1693	1693
3953	Pitjantjatjara	pitj1243	BREATHE		ŋaːljmanaɲi	ŋ aː l j m a n a ɲ i	N a l y m a n a H i	N V R J M V N V N V	N A L J M A N A N I	BREATHE:1696	1696
3954	Pitta Pitta	pitt1247	BREATHE		ŋaɹi	ŋ a ɹ i	N a r i	N V R V	N A R I	BREATHE:1670	1670
3955	Ritarungo	rita1239	BREATHE		ŋiɹju	ŋ i ɹ j u	N i r y u	N V R J V	N I R J Y	BREATHE:1670	1670
3956	Dhalandji	dhal1245	BREATHE		ŋaːɲgajin	ŋ aː ɲ g a j i n	N a H g a y i n	N V N K V J V N	N A N K A J I N	BREATHE:1693	1693
3957	Dhargari	dhar1247	BREATHE		ŋaːcgiku	ŋ aː c g i k u	N a T g i k u	N V K K V K V	N A C K I K Y	BREATHE:1689	1689
3959	Wagaya	waga1260	BREATHE		pujuŋk	p u j u ŋ k	p u y u N k	P V J V N K	P Y J Y N K	BREATHE:1668	1668
3965	Ngura	ngur1261	BREATHE		ŋaŋga	ŋ a ŋ g a	N a N g a	N V N K V	N A N K A	BREATHE:1672	1672
3967	Warlpiri	warl1254	BREATHE		ŋaːɲkarimi	ŋ aː ɲ k a r i m i	N a H k a r i m i	N V N K V R V M V	N A N K A R I M I	BREATHE:1693	1693
3969	Wanman	wanm1242	BREATHE		ŋaːnma	ŋ aː n m a	N a n m a	N V N M V	N A N M A	BREATHE:1682	1682
3970	Wariyangga	wari1262	BREATHE		ŋaːɲmaɹu	ŋ aː ɲ m a ɹ u	N a H m a r u	N V N M V R V	N A N M A R Y	BREATHE:1693	1693
3971	Warumungu	waru1265	BREATHE		ŋarkːiŋarkːicanta	ŋ a r kː i ŋ a r kː i c a n t a	N a r k i N a r k i T a n t a	N V R K V N V R K V K V N T V	N A R K I N A R K I C A N T A	BREATHE:1676	1676
3973	Wik-Mungkan	wikm1247	BREATHE		ŋaŋkaŋ_t̪eːʔaŋ	ŋ a ŋ k a ŋ t̪ eː ʔ a ŋ	N a N k a N t e 7 a N	N V N K V N T V H V N	N A N K A N T E H A N	BREATHE:1	1
3974	Wiradhuri	wira1262	BREATHE		bunin	b u n i n	b u n i n	P V N V N	P Y N I N	BREATHE:1669	1669
3975	Wirangu-Nauo	wira1260	BREATHE		ŋaɲə	ŋ a ɲ ə	N a H I	N V N V	N A N E	BREATHE:1693	1693
3976	Yan-nhangu	yann1237	BREATHE		ŋaɹʔʲun	ŋ a ɹ ʔʲ u n	N a r 7 u n	N V R H V N	N A R H Y N	BREATHE:1670	1670
3977	Yandruwandha	yand1253	BREATHE		ŋindɹa	ŋ i n d ɹ a	N i n d r a	N V N T R V	N I N T R A	BREATHE:1681	1681
3979	Yawarawarga	yawa1258	BREATHE		ŋaɹawaluwalukindɹi	ŋ a ɹ a w a l u w a l u k i n d ɹ i	N a r a w a l u w a l u k i n d r i	N V R V W V R V W V R V K V N T R V	N A R A W A L Y W A L Y K I N T R I	BREATHE:1670	1670
3980	Yindjibarndi	yind1247	BREATHE		ŋajinma	ŋ a j i n m a	N a y i n m a	N V J V N M V	N A J I N M A	BREATHE:1694	1694
3982	Yulparitja	yulp1238	BREATHE		ɹaŋcula	ɹ a ŋ c u l a	r a N T u l a	R V N K V R V	R A N C Y L A	BREATHE:1679	1679
3983	Yuwaalaraay	yuwa1242	BREATHE		buliːrali	b u l iː r a l i	b u l i r a l i	P V R V R V R V	P Y L I R A L I	BREATHE:1685	1685
3984	Adnyamathanha	adny1235	BURN		ŋali	ŋ a l i	N a l i	N V R V	N A L I	BURN:1720	1720
3986	Alyawarr	alya1239	BURN		apmpem	a p m p e m	a p m p e m	V P M P V M	A P M P E M	BURN:1734	1734
3987	Alyawarr	alya1239	BURN		pwel̪	p w e l̪	p w e l	P W V R	P W E L	BURN:1734	1734
3989	Arabana	arab1267	BURN		mara	m a r a	m a r a	M V R V	M A R A	BURN:1704	1704
3993	Yugambeh-Bandjalang	band1339	BURN		jugi	j u g i	y u g i	J V K V	J Y K I	BURN:1	1
4002	Dhangu	dhan1270	BURN		n̪æɹa	n̪ æ ɹ a	n E r a	N V R V	N E R A	BURN:1767	1767
4004	Sydney	sydn1236	BURN		kunʔnama	k u n ʔ n a m a	k u n 7 n a m a	K V N H N V M V	K Y N H N A M A	BURN:1727	1727
4007	Dhuwal	dhuw1249	BURN		n̪æɹa	n̪ æ ɹ a	n E r a	N V R V	N E R A	BURN:1767	1767
4009	Dieri	dier1241	BURN		jaɹki	j a ɹ k i	y a r k i	J V R K V	J A R K I	BURN:1743	1743
4010	Dyaabugay	dyaa1242	BURN		ɲuŋal	ɲ u ŋ a l	H u N a l	N V N V R	N Y N A L	BURN:1722	1722
4011	Djambarrpuyngu	djam1256	BURN		ŋaɭwapt̪un	ŋ a ɭ w a p t̪ u n	N a L w a p t u n	N V R W V P T V N	N A L W A P T Y N	BURN:1767	1767
4013	Djinang	djin1253	BURN		wardcigi	w a r d c i g i	w a r d T i g i	W V R T K V K V	W A R T C I K I	BURN:1706	1706
4016	Gamilaraay	gami1243	BURN		gud̪e	g u d̪ e	g u d e	K V T V	K Y T E	BURN:1730	1730
4019	Kumbainggar	kumb1268	BURN		bagiː	b a g iː	b a g i	P V K V	P A K I	BURN:1745	1745
4024	Gupapuyngu	gupa1247	BURN		buɭpuɭjun	b u ɭ p u ɭ j u n	b u L p u L y u n	P V R P V R J V N	P Y L P Y L J Y N	BURN:1707	1707
4025	Gurindji	guri1247	BURN		puʈuc_cijaɳana	p u ʈ u c c i j a ɳ a n a	p u t u T T i y a n a n a	P V T V K K V J V N V N V	P Y T Y C C I J A N A N A	BURN:1714	1714
4029	Guyani	guya1249	BURN		ŋaɭinta	ŋ a ɭ i n t a	N a L i n t a	N V R V N T V	N A L I N T A	BURN:1720	1720
4030	Sydney	sydn1236	BURN		gɔna	g ɔ n a	g o n a	K V N V	K U N A	BURN:1	1
4031	Jaru	jaru1254	BURN		gamabana	g a m a b a n a	g a m a b a n a	K V M V P V N V	K A M A P A N A	BURN:1734	1734
4033	Djiwarli	djiw1241	BURN		kambaɹu	k a m b a ɹ u	k a m b a r u	K V M P V R V	K A M P A R Y	BURN:1734	1734
4035	Kalkutung	kalk1246	BURN		t̪u	t̪ u	t u	T V	T Y	BURN:1712	1712
4036	Gamilaraay	gami1243	BURN		gud̪e	g u d̪ e	g u d e	K V T V	K Y T E	BURN:1730	1730
4037	Karadjeri	kara1476	BURN		gamabana	g a m a b a n a	g a m a b a n a	K V M V P V N V	K A M A P A N A	BURN:1734	1734
4040	Kartujarra	kart1247	BURN		murpir	m u r p i r	m u r p i r	M V R P V R	M Y R P I R	BURN:1760	1760
4042	Kaurna	kaur1267	BURN		buʈandi	b u ʈ a n d i	b u t a n d i	P V T V N T V	P Y T A N T I	BURN:1714	1714
4043	Kukatja	kuka1246	BURN		ɲurkuɲurku	ɲ u r k u ɲ u r k u	H u r k u H u r k u	N V R K V N V R K V	N Y R K Y N Y R K Y	BURN:1765	1765
4044	Kuku-Yalanji	kuku1273	BURN		wajcul	w a j c u l	w a y T u l	W V J K V R	W A J C Y L	BURN:1755	1755
4048	Gurdjar	gurd1238	BURN		d̪ilk	d̪ i l k	d i l k	T V R K	T I L K	BURN:1763	1763
4049	Kuuku-Ya'u	kuuk1238	BURN		untana	u n t a n a	u n t a n a	V N T V N V	Y N T A N A	BURN:1713	1713
4051	Kala Lagaw Ya	kala1377	BURN		uidai	u i d a i	u i d a i	V V T V V	Y I T A I	BURN:1705	1705
4056	Margany	marg1253	BURN		jacu	j a c u	y a T u	J V K V	J A C Y	BURN:1759	1759
4057	Martu Wangka	mart1256	BURN		kampaŋu	k a m p a ŋ u	k a m p a N u	K V M P V N V	K A M P A N Y	BURN:1734	1734
4065	Mudburra	mudb1240	BURN		canki	c a n k i	T a n k i	K V N K V	C A N K I	BURN:1709	1709
4066	Mudburra	mudb1240	BURN		caŋki	c a ŋ k i	T a N k i	K V N K V	C A N K I	BURN:1709	1709
4068	Muruwari	muru1266	BURN		muː	m uː	m u	M V	M Y	BURN:1733	1733
4071	Ngaanyatjarra	ngaa1240	BURN		kampaku	k a m p a k u	k a m p a k u	K V M P V K V	K A M P A K Y	BURN:1734	1734
4072	Ngaanyatjarra	ngaa1240	BURN		jirɲalku	j i r ɲ a l k u	y i r H a l k u	J V R N V R K V	J I R N A L K Y	BURN:1734	1734
4074	Lower Riverland	lowe1402	BURN		bokːaŋun	b o kː a ŋ u n	b o k a N u n	P V K V N V N	P U K A N Y N	BURN:1751	1751
4075	Ngamini	ngam1284	BURN		jaɹki	j a ɹ k i	y a r k i	J V R K V	J A R K I	BURN:1743	1743
4076	Ngarinman	ngar1235	BURN		cijaɳi	c i j a ɳ i	T i y a n i	K V J V N V	C I J A N I	BURN:1719	1719
4078	Ngarluma	ngar1287	BURN		gamba	g a m b a	g a m b a	K V M P V	K A M P A	BURN:1734	1734
4079	Narrinyeri	narr1259	BURN		jaɹaŋka	j a ɹ a ŋ k a	y a r a N k a	J V R V N K V	J A R A N K A	BURN:1726	1726
4087	Northern Coastal Nyangumarta	nort2754	BURN		kampana	k a m p a n a	k a m p a n a	K V M P V N V	K A M P A N A	BURN:1734	1734
4088	Nyamal	nyam1271	BURN		kamala	k a m a l a	k a m a l a	K V M V R V	K A M A L A	BURN:1	1
4089	Nyamal	nyam1271	BURN		paʈila	p a ʈ i l a	p a t i l a	P V T V R V	P A T I L A	BURN:1	1
4090	Nyamal	nyam1271	BURN		paʈijampa	p a ʈ i j a m p a	p a t i y a m p a	P V T V J V M P V	P A T I J A M P A	BURN:1	1
4091	Nyamal	nyam1271	BURN		pirpala	p i r p a l a	p i r p a l a	P V R P V R V	P I R P A L A	BURN:1	1
4092	Nyangumarta	nyan1301	BURN		kampana	k a m p a n a	k a m p a n a	K V M P V N V	K A M P A N A	BURN:1734	1734
4093	Nyunga	nyun1247	BURN		nahɹ	n a h ɹ	n a h r	N V H R	N A H R	BURN:1767	1767
4094	Paakantyi	darl1243	BURN		ɖuːba	ɖ uː b a	d u b a	T V P V	T Y P A	BURN:1712	1712
4097	Panytyima	pany1241	BURN		kampalku	k a m p a l k u	k a m p a l k u	K V M P V R K V	K A M P A L K Y	BURN:1734	1734
4098	Banggarla	bang1339	BURN		ŋalːiti	ŋ a lː i t i	N a l i t i	N V R V T V	N A L I T I	BURN:1720	1720
4099	Bayungu	bayu1240	BURN		kut̪uwanmaji	k u t̪ u w a n m a j i	k u t u w a n m a y i	K V T V W V N M V J V	K Y T Y W A N M A J I	BURN:1730	1730
4104	Pitjantjatjara	pitj1243	BURN		kampaɲi	k a m p a ɲ i	k a m p a H i	K V M P V N V	K A M P A N I	BURN:1734	1734
4105	Pitta Pitta	pitt1247	BURN		jan̪t̪i	j a n̪ t̪ i	y a n t i	J V N T V	J A N T I	BURN:1742	1742
4107	Ritarungo	rita1239	BURN		n̪aːɹa	n̪ aː ɹ a	n a r a	N V R V	N A R A	BURN:1767	1767
4109	Dhalandji	dhal1245	BURN		kut̪uwalgin	k u t̪ u w a l g i n	k u t u w a l g i n	K V T V W V R K V N	K Y T Y W A L K I N	BURN:1730	1730
4110	Dhargari	dhar1247	BURN		kapaɹu	k a p a ɹ u	k a p a r u	K V P V R V	K A P A R Y	BURN:1734	1734
4113	Wagaya	waga1260	BURN		walew	w a l e w	w a l e w	W V R V W	W A L E W	BURN:1732	1732
4121	Ngura	ngur1261	BURN		mari	m a r i	m a r i	M V R V	M A R I	BURN:1704	1704
4126	Warlpiri	warl1254	BURN		cankami	c a n k a m i	T a n k a m i	K V N K V M V	C A N K A M I	BURN:1709	1709
4128	Wanman	wanm1242	BURN		kampa	k a m p a	k a m p a	K V M P V	K A M P A	BURN:1734	1734
4129	Wariyangga	wari1262	BURN		kambaɹu	k a m b a ɹ u	k a m b a r u	K V M P V R V	K A M P A R Y	BURN:1734	1734
4130	Warumungu	waru1265	BURN		juŋkan	j u ŋ k a n	y u N k a n	J V N K V N	J Y N K A N	BURN:1768	1768
4132	Wathawurrung	wath1238	BURN		ŋarama	ŋ a r a m a	N a r a m a	N V R V M V	N A R A M A	BURN:1725	1725
4135	Wik-Mungkan	wikm1247	BURN		oːjamat̪aŋ	oː j a m a t̪ a ŋ	o y a m a t a N	V J V M V T V N	U J A M A T A N	BURN:1	1
4136	Wiradhuri	wira1262	BURN		ganːara	g a nː a r a	g a n a r a	K V N V R V	K A N A R A	BURN:1727	1727
4137	Wirangu-Nauo	wira1260	BURN		gambaɹiɳ	g a m b a ɹ i ɳ	g a m b a r i n	K V M P V R V N	K A M P A R I N	BURN:1734	1734
