ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
8505	GREEK	ell	eat		ˈtro̞ɣo̞	ˈt r o̞ ɣ o̞	t r o x o	T R V K V	T R U G U	eat:H	475
8509	OSSETIC_IRON	oss	eat		χor	χ o r	G o r	K V R	G U R	eat:A	470
8510	OSSETIC_DIGOR	oss	eat		χwɐr	χ w ɐ r	G w a r	K W V R	G W E R	eat:A	470
8511	ORIYA	ori	eat		kha	k h a	k h a	K H V	K H A	eat:C	472
8512	BIHARI	mai	eat		khaeəb	k h aeə b	k h a b	K H V P	K H A P	eat:C	472
8514	URDU	urd	eat		kʰɑnə	kʰ ɑ n ə	k o n I	K V N V	K A N E	eat:C	472
8515	MARATHI	mar	eat		kʰaɳe	kʰ a ɳ e	k a n e	K V N V	K A N E	eat:C	472
8516	OLD_CHURCH_SLAVONIC	chu	eat		jasti	j a s t i	y a s t i	J V S T V	J A S T I	eat:B	471
8517	SERBO-CROATIAN	srp	eat		ˈjɛ̂sti	ˈj ɛ̂ s t i	y E s t i	J V S T V	J E S T I	eat:B	471
8518	BULGARIAN	bul	eat		jam	j a m	y a m	J V M	J A M	eat:B	471
8519	MACEDONIAN	mkd	eat		ˈjadɛ	ˈj a d ɛ	y a d E	J V T V	J A T E	eat:B	471
8520	RUSSIAN	rus	eat		jɛsʲtʲ	j ɛ sʲ tʲ	y E s t	J V S T	J E S T	eat:B	471
8521	POLISH	pol	eat		jɛɕtɕ	j ɛ ɕ t ɕ	y E S t S	J V S T S	J E S T S	eat:B	471
8522	BELARUSIAN	bel	eat		ˈjɛsʲtsʲi	ˈj ɛ sʲ t sʲ i	y E s t s i	J V S T S V	J E S T S I	eat:B	471
8523	UKRAINIAN	ukr	eat		ˈjistɪ	ˈj i s t ɪ	y i s t i	J V S T V	J I S T I	eat:B	471
8524	SLOVAK	slk	eat		jɛsc	j ɛ s c	y E s T	J V S K	J E S C	eat:B	471
8525	CZECH	ces	eat		jiːst	j iː s t	y i s t	J V S T	J I S T	eat:B	471
8526	SORBIAN_UPPER	hsb	eat		jɪstʃ	j ɪ s t ʃ	y i s t S	J V S T S	J I S T S	eat:B	471
8527	SORBIAN_LOWER	dsb	eat		jɪstɕ	j ɪ s t ɕ	y i s t S	J V S T S	J I S T S	eat:B	471
8528	SLOVENIAN	slv	eat		ˈjěːsti	ˈj ěː s t i	y e s t i	J V S T V	J E S T I	eat:B	471
8529	OLD_NORSE	non	eat		ˈeta	ˈe t a	e t a	V T V	E T A	eat:B	471
8530	ICELANDIC	isl	eat		ɛːtʰa	ɛː tʰ a	E t a	V T V	E T A	eat:B	471
8531	FAROESE	fao	eat		ˈeːta	ˈeː t a	e t a	V T V	E T A	eat:B	471
8532	NORWEGIAN_RIKSMAL	nor	eat		ˈèːtə	ˈèː t ə	e t I	V T V	E T E	eat:B	471
8533	NORWEGIAN_RIKSMAL	nor	eat		ˈspìːsə	ˈs p ìː s ə	s p i s I	S P V S V	S P I S E	eat:G	474
8534	STAVANGERSK		eat		ˈspìːsa	ˈs p ìː s a	s p i s a	S P V S V	S P I S A	eat:G	474
8535	STAVANGERSK		eat		ˈèːda	ˈèː d a	e d a	V T V	E T A	eat:B	471
8536	OLD_SWEDISH		eat		ˈæːta	ˈæː t a	E t a	V T V	E T A	eat:B	471
8537	SWEDISH	swe	eat		ˈɛ̀:ta	ˈɛ̀: t a	E t a	V T V	E T A	eat:B	471
8538	ELFDALIAN	qov	eat		ˈjæ̀tɔ	ˈj æ̀ t ɔ	y E t o	J V T V	J E T U	eat:B	471
8539	DANISH	dan	eat		sb̥ʰi:sə	s b̥ʰ i: s ə	s b i s I	S P V S V	S P I S E	eat:G	474
8540	DANISH	dan	eat		ˈɛːðə	ˈɛː ð ə	E 8 I	V T V	E D E	eat:B	471
8541	DANISH_FJOLDE		eat		sbiːs	s b iː s	s b i s	S P V S	S P I S	eat:G	474
8542	DANISH_FJOLDE		eat		eæð	eæ ð	e 8	V T	E D	eat:B	471
8543	GUTNISH_LAU		eat		ˈjeːtɛ	ˈj eː t ɛ	y e t E	J V T V	J E T E	eat:B	471
8544	ENGLISH	eng	eat		i:t	i: t	i t	V T	I T	eat:B	471
8546	DUTCH	nld	eat		etən	e t ə n	e t I n	V T V N	E T E N	eat:B	471
8547	GERMAN	deu	eat		ɛsn̩	ɛ s n̩	E s n	V S N	E S N	eat:B	471
8548	LATIN	lat	eat		ˈedere	ˈe d e r e	e d e r e	V T V R V	E T E R E	eat:B	471
8549	CATALAN	cat	eat		mənʒa	m ə n ʒ a	m I n Z a	M V N S V	M E N S A	eat:F	473
8550	FRENCH	fra	eat		mɑ̃ʒe	m ɑ̃ ʒ e	m o Z e	M V S V	M A S E	eat:F	473
8551	ITALIAN	ita	eat		mandʒare	m a n d ʒ a r e	m a n d Z a r e	M V N T S V R V	M A N T S A R E	eat:F	473
8552	OLD_IRISH	sga	eat		iθʹəðʹ	i θʹ ə ðʹ	i 8 I 8	V T V T	I D E D	eat:I	476
4794	ANCIENT_GREEK	grc	egg		ɔːjón	ɔː j ó n	o y o n	V J V N	U J U N	egg:A	477
4795	GREEK	ell	egg		avˈɣo̞	a v ˈɣ o̞	a v x o	V W K V	A B G U	egg:A	477
4798	OSSETIC_IRON	oss	egg		ajk	a j k	a y k	V J K	A J K	egg:A	477
4799	OSSETIC_DIGOR	oss	egg		ajkɐ	a j k ɐ	a y k a	V J K V	A J K E	egg:A	477
4801	ORIYA	ori	egg		ɔɳɖa	ɔ ɳ ɖ a	o n d a	V N T V	U N T A	egg:C	478
4802	BIHARI	mai	egg		ənɖa	ə n ɖ a	I n d a	V N T V	E N T A	egg:C	478
4804	URDU	urd	egg		ʔənɖɑ	ʔ ə n ɖ ɑ	7 I n d o	H V N T V	H E N T A	egg:C	478
4805	MARATHI	mar	egg		əɳɖə	ə ɳ ɖ ə	I n d I	V N T V	E N T E	egg:C	478
4806	OLD_CHURCH_SLAVONIC	chu	egg		ɑjɪ̆tsʲɛ	ɑ j ɪ̆ t sʲ ɛ	o y i t s E	V J V T S V	A J I T S E	egg:A	477
4807	SERBO-CROATIAN	srp	egg		ˈjǎːjɛ	ˈj ǎː j ɛ	y a y E	J V J V	J A J E	egg:A	477
4808	BULGARIAN	bul	egg		jəjˈtsɛ	j ə j ˈt s ɛ	y I y t s E	J V J T S V	J E J T S E	egg:A	477
4809	MACEDONIAN	mkd	egg		ˈjajtsɛ	ˈj a j t s ɛ	y a y t s E	J V J T S V	J A J T S E	egg:A	477
4810	RUSSIAN	rus	egg		jajtsɔ	j a j t s ɔ	y a y t s o	J V J T S V	J A J T S U	egg:A	477
4811	POLISH	pol	egg		ˈjajkɔ	ˈj a j k ɔ	y a y k o	J V J K V	J A J K U	egg:A	477
4812	BELARUSIAN	bel	egg		ˈjajka	ˈj a j k a	y a y k a	J V J K V	J A J K A	egg:A	477
4813	UKRAINIAN	ukr	egg		jajˈtsɛ	j a j ˈt s ɛ	y a y t s E	J V J T S V	J A J T S E	egg:A	477
4814	SLOVAK	slk	egg		ˈvajtsɛ	ˈv a j t s ɛ	v a y t s E	W V J T S V	B A J T S E	egg:A	477
4815	CZECH	ces	egg		ˈvɛjtsɛ	ˈv ɛ j t s ɛ	v E y t s E	W V J T S V	B E J T S E	egg:A	477
4816	SORBIAN_UPPER	hsb	egg		jeɔ	j eɔ	y e	J V	J E	egg:A	477
4817	SORBIAN_LOWER	dsb	egg		ˈjajɔ	ˈj a j ɔ	y a y o	J V J V	J A J U	egg:A	477
4818	SLOVENIAN	slv	egg		ˈjǎːjtsɛ	ˈj ǎː j t s ɛ	y a y t s E	J V J T S V	J A J T S E	egg:A	477
4819	OLD_NORSE	non	egg		eɡː	e ɡː	e g	V K	E K	egg:A	477
4820	ICELANDIC	isl	egg		ɛɡ̊ː	ɛ ɡ̊ː	E g	V K	E K	egg:A	477
4821	FAROESE	fao	egg		ɛɡː	ɛ ɡː	E g	V K	E K	egg:A	477
4822	NORWEGIAN_RIKSMAL	nor	egg		ɛɡː	ɛ ɡː	E g	V K	E K	egg:A	477
4823	STAVANGERSK		egg		ɛɡː	ɛ ɡː	E g	V K	E K	egg:A	477
4824	OLD_SWEDISH		egg		æɡː	æ ɡː	E g	V K	E K	egg:A	477
4825	SWEDISH	swe	egg		ɛgː	ɛ gː	E g	V K	E K	egg:A	477
4826	ELFDALIAN	qov	egg		ɛgː	ɛ gː	E g	V K	E K	egg:A	477
4827	DANISH	dan	egg		ɛˀg̥	ɛˀ g̥	E g	V K	E K	egg:A	477
4828	DANISH_FJOLDE		egg		æɣ	æ ɣ	E x	V K	E G	egg:A	477
4829	GUTNISH_LAU		egg		ɛɡː	ɛ ɡː	E g	V K	E K	egg:A	477
4830	ENGLISH	eng	egg		ɛg	ɛ g	E g	V K	E K	egg:A	477
4832	DUTCH	nld	egg		ɛi	ɛi	E	V	E	egg:A	477
4833	GERMAN	deu	egg		aĭ	a ĭ	a i	V V	A I	egg:A	477
4834	LATIN	lat	egg		ˈoːwum	ˈoː w u m	o w u m	V W V M	U W Y M	egg:A	477
4835	CATALAN	cat	egg		ɔu	ɔu	o	V	U	egg:A	477
4836	PORTUGUESE	por	egg		ovu	o v u	o v u	V W V	U B Y	egg:A	477
4837	SPANISH	spa	egg		weβo	w e β o	w e b o	W V P V	W E B U	egg:A	477
4838	FRENCH	fra	egg		œf	œ f	E f	V P	U B	egg:A	477
4839	ITALIAN	ita	egg		wɔvo	w ɔ v o	w o v o	W V W V	W U B U	egg:A	477
4840	OLD_IRISH	sga	egg		oɣ	o ɣ	o x	V K	U G	egg:A	477
2456	ANCIENT_GREEK	grc	eye		opʰtʰalmós	o pʰ tʰ a l m ó s	o p t a l m o s	V P T V R M V S	U P T A L M U S	eye:B	479
2457	GREEK	ell	eye		mati	m a t i	m a t i	M V T V	M A T I	eye:B	479
2461	OSSETIC_IRON	oss	eye		sɐšt	s ɐ š t	s a S t	S V S T	S E S T	eye:D	480
2462	OSSETIC_DIGOR	oss	eye		cɐstɐ	c ɐ s t ɐ	T a s t a	K V S T V	C E S T E	eye:D	480
2463	ORIYA	ori	eye		akhi	a k h i	a k h i	V K H V	A K H I	eye:B	479
2464	BIHARI	mai	eye		aĩkh	aĩ k h	a k h	V K H	A K H	eye:B	479
2466	URDU	urd	eye		ʔɑ̃kʰ	ʔ ɑ̃ kʰ	7 o k	H V K	H A K	eye:B	479
2467	MARATHI	mar	eye		ɖoɭa	ɖ o ɭ a	d o L a	T V R V	T U L A	eye:J	483
2468	OLD_CHURCH_SLAVONIC	chu	eye		ɔkɔ	ɔ k ɔ	o k o	V K V	U K U	eye:B	479
2469	SERBO-CROATIAN	srp	eye		ˈɔ̂kɔ	ˈɔ̂ k ɔ	o k o	V K V	U K U	eye:B	479
2470	BULGARIAN	bul	eye		uˈkɔ	u ˈk ɔ	u k o	V K V	Y K U	eye:B	479
2471	MACEDONIAN	mkd	eye		ˈokɔ	ˈo k ɔ	o k o	V K V	U K U	eye:B	479
2472	RUSSIAN	rus	eye		gɫaz	g ɫ a z	g l a z	K R V S	K L A S	eye:G	482
2473	POLISH	pol	eye		ˈɔkɔ	ˈɔ k ɔ	o k o	V K V	U K U	eye:B	479
2474	BELARUSIAN	bel	eye		ˈvɔka	ˈv ɔ k a	v o k a	W V K V	B U K A	eye:B	479
2475	UKRAINIAN	ukr	eye		ˈɔkɔ	ˈɔ k ɔ	o k o	V K V	U K U	eye:B	479
2476	SLOVAK	slk	eye		ˈɔkɔ	ˈɔ k ɔ	o k o	V K V	U K U	eye:B	479
2477	CZECH	ces	eye		ˈɔkɔ	ˈɔ k ɔ	o k o	V K V	U K U	eye:B	479
2478	SORBIAN_UPPER	hsb	eye		ˈwɔkɔ	ˈw ɔ k ɔ	w o k o	W V K V	W U K U	eye:B	479
2479	SORBIAN_LOWER	dsb	eye		ˈhɔkɔ	ˈh ɔ k ɔ	h o k o	H V K V	H U K U	eye:B	479
2480	SLOVENIAN	slv	eye		ɔˈkôː	ɔ ˈk ôː	o k o	V K V	U K U	eye:B	479
2481	OLD_NORSE	non	eye		ˈauɣa	ˈau ɣ a	a x a	V K V	A G A	eye:B	479
2482	ICELANDIC	isl	eye		ˈøɪːɣa	ˈøɪː ɣ a	e x a	V K V	U G A	eye:B	479
2483	FAROESE	fao	eye		ˈɛiːja	ˈɛiː j a	E y a	V J V	E J A	eye:B	479
2484	NORWEGIAN_RIKSMAL	nor	eye		ˈœʏ̀ə	ˈœʏ̀ə	E	V	U	eye:B	479
2485	STAVANGERSK		eye		ˈœɪ̀a	ˈœɪ̀a	E	V	U	eye:B	479
2486	OLD_SWEDISH		eye		ˈøːɣa	ˈøː ɣ a	e x a	V K V	U G A	eye:B	479
2487	SWEDISH	swe	eye		ˈø̀ːɡa	ˈø̀ː ɡ a	e g a	V K V	U K A	eye:B	479
2488	ELFDALIAN	qov	eye		ˈòːgɑ	ˈòː g ɑ	o g o	V K V	U K A	eye:B	479
2489	DANISH	dan	eye		ˈʌjə	ˈʌ j ə	o y I	V J V	E J E	eye:B	479
2490	DANISH_FJOLDE		eye		øj	ø j	e y	V J	U J	eye:B	479
2491	GUTNISH_LAU		eye		ˈauɡɛ	ˈau ɡ ɛ	a g E	V K V	A K E	eye:B	479
2492	ENGLISH	eng	eye		aɪ	aɪ	a	V	A	eye:B	479
2494	DUTCH	nld	eye		oχ	o χ	o G	V K	U G	eye:B	479
2495	GERMAN	deu	eye		aŭgə	a ŭ g ə	a u g I	V V K V	A Y K E	eye:B	479
2496	LATIN	lat	eye		ˈokulus	ˈo k u l u s	o k u l u s	V K V R V S	U K Y L Y S	eye:B	479
2497	CATALAN	cat	eye		uʎ	u ʎ	u l	V R	Y L	eye:B	479
2498	PORTUGUESE	por	eye		ˈoʎu	ˈo ʎ u	o l u	V R V	U L Y	eye:B	479
2499	SPANISH	spa	eye		oxo	o x o	o x o	V K V	U G U	eye:B	479
2500	FRENCH	fra	eye		œj	œ j	E y	V J	U J	eye:B	479
2501	ITALIAN	ita	eye		ɔkkjo	ɔ kk j o	o k y o	V K J V	U K J U	eye:B	479
2502	OLD_IRISH	sga	eye		dʹerk	dʹ e r k	d e r k	T V R K	T E R K	eye:L	484
2503	OLD_IRISH	sga	eye		su:lʹ	s u: lʹ	s u l	S V R	S Y L	eye:F	481
10741	ANCIENT_GREEK	grc	fall		píptɔː	p í p t ɔː	p i p t o	P V P T V	P I P T U	fall:N	494
10742	GREEK	ell	fall		ˈpe̞fto̞	ˈp e̞ f t o̞	p e f t o	P V P T V	P E B T U	fall:N	494
10745	OSSETIC_IRON	oss	fall		χaw	χ a w	G a w	K V W	G A W	fall:M	493
10746	OSSETIC_DIGOR	oss	fall		χaw	χ a w	G a w	K V W	G A W	fall:M	493
10748	ORIYA	ori	fall		khɔs	k h ɔ s	k h o s	K H V S	K H U S	fall:F	488
10749	ORIYA	ori	fall		tɔɭ	t ɔ ɭ	t o L	T V R	T U L	fall:Y	495
10750	ORIYA	ori	fall		pɔɖiba	p ɔ ɖ i b a	p o d i b a	P V T V P V	P U T I P A	fall:N	494
10751	BIHARI	mai	fall		khəsəb	k h ə s ə b	k h I s I b	K H V S V P	K H E S E P	fall:F	488
10753	URDU	urd	fall		ɡɪɾnə	ɡ ɪ ɾ n ə	g i r n I	K V R N V	K I R N E	fall:D	487
10754	MARATHI	mar	fall		pəɖɳe	p ə ɖ ɳ e	p I d n e	P V T N V	P E T N E	fall:N	494
10755	OLD_CHURCH_SLAVONIC	chu	fall		pɑdɑti	p ɑ d ɑ t i	p o d o t i	P V T V T V	P A T A T I	fall:I	490
10756	SERBO-CROATIAN	srp	fall		ˈpâdati	ˈp â d a t i	p a d a t i	P V T V T V	P A T A T I	fall:I	490
10757	BULGARIAN	bul	fall		ˈpadəm	ˈp a d ə m	p a d I m	P V T V M	P A T E M	fall:I	490
10758	MACEDONIAN	mkd	fall		ˈpaɟa	ˈp a ɟ a	p a C a	P V K V	P A C A	fall:I	490
10759	RUSSIAN	rus	fall		padatʲ	p a d a tʲ	p a d a t	P V T V T	P A T A T	fall:I	490
10760	POLISH	pol	fall		ˈspadaʨ	ˈs p a d a ʨ	s p a d a C	S P V T V K	S P A T A C	fall:I	490
10761	BELARUSIAN	bel	fall		ˈpadatsʲ	ˈp a d a t sʲ	p a d a t s	P V T V T S	P A T A T S	fall:I	490
10762	UKRAINIAN	ukr	fall		ˈpadatɪ	ˈp a d a t ɪ	p a d a t i	P V T V T V	P A T A T I	fall:I	490
10763	SLOVAK	slk	fall		ˈpadac	ˈp a d a c	p a d a T	P V T V K	P A T A C	fall:I	490
10764	CZECH	ces	fall		ˈpadat	ˈp a d a t	p a d a t	P V T V T	P A T A T	fall:I	490
10765	SORBIAN_UPPER	hsb	fall		ˈpadatʃ	ˈp a d a t ʃ	p a d a t S	P V T V T S	P A T A T S	fall:I	490
10766	SORBIAN_LOWER	dsb	fall		ˈpadaɕ	ˈp a d a ɕ	p a d a S	P V T V S	P A T A S	fall:I	490
10767	SLOVENIAN	slv	fall		ˈpǎːsti	ˈp ǎː s t i	p a s t i	P V S T V	P A S T I	fall:I	490
10768	OLD_NORSE	non	fall		ˈfalːa	ˈf a lː a	f a l a	P V R V	B A L A	fall:B	486
10769	ICELANDIC	isl	fall		ˈfad̥la	ˈf a d̥ l a	f a d l a	P V T R V	B A T L A	fall:B	486
10770	FAROESE	fao	fall		ˈfad̥la	ˈf a d̥ l a	f a d l a	P V T R V	B A T L A	fall:B	486
10771	FAROESE	fao	fall		ˈdɛʰtːa	ˈd ɛʰ tː a	d E t a	T V T V	T E T A	fall:Ad	485
10772	NORWEGIAN_RIKSMAL	nor	fall		ˈfàlːə	ˈf à lː ə	f a l I	P V R V	B A L E	fall:B	486
10773	STAVANGERSK		fall		ˈfàlːa	ˈf à lː a	f a l a	P V R V	B A L A	fall:B	486
10774	OLD_SWEDISH		fall		ˈfalːa	ˈf a lː a	f a l a	P V R V	B A L A	fall:B	486
10775	SWEDISH	swe	fall		ˈfàlːa	ˈf à lː a	f a l a	P V R V	B A L A	fall:B	486
10776	ELFDALIAN	qov	fall		ˈfòlːɑ	ˈf ò lː ɑ	f o l o	P V R V	B U L A	fall:B	486
10777	DANISH	dan	fall		ˈfalə	ˈf a l ə	f a l I	P V R V	B A L E	fall:B	486
10778	DANISH_FJOLDE		fall		fɔlʲ	f ɔ lʲ	f o l	P V R	B U L	fall:B	486
10779	GUTNISH_LAU		fall		ˈfalːɛ	ˈf a lː ɛ	f a l E	P V R V	B A L E	fall:B	486
10780	ENGLISH	eng	fall		fɔ:l	f ɔ: l	f o l	P V R	B U L	fall:B	486
10782	DUTCH	nld	fall		vɑlən	v ɑ l ə n	v o l I n	W V R V N	B A L E N	fall:B	486
10783	GERMAN	deu	fall		falən	f a l ə n	f a l I n	P V R V N	B A L E N	fall:B	486
10784	LATIN	lat	fall		ˈkadere	ˈk a d e r e	k a d e r e	K V T V R V	K A T E R E	fall:G	489
10785	CATALAN	cat	fall		kauwrə	k au w r ə	k a w r I	K V W R V	K A W R E	fall:G	489
10786	PORTUGUESE	por	fall		kɐˈiɾ	k ɐ ˈi ɾ	k a i r	K V V R	K E I R	fall:G	489
10787	SPANISH	spa	fall		kaeɾ	k ae ɾ	k a r	K V R	K A R	fall:G	489
10788	FRENCH	fra	fall		tɔ̃be	t ɔ̃ b e	t o b e	T V P V	T U P E	fall:J	491
10789	ITALIAN	ita	fall		kadere	k a d e r e	k a d e r e	K V T V R V	K A T E R E	fall:G	489
10790	OLD_IRISH	sga	fall		doˈtutʹ	d o ˈt u tʹ	d o t u t	T V T V T	T U T Y T	fall:L	492
10681	ANCIENT_GREEK	grc	far		pórːɔː	p ó rː ɔː	p o r o	P V R V	P U R U	far:B	496
10682	GREEK	ell	far		maˌkriˈa	m a ˌk r i ˈa	m a k r i a	M V K R V V	M A K R I A	far:H	500
10686	OSSETIC_IRON	oss	far		dard	d a r d	d a r d	T V R T	T A R T	far:Q	504
10687	OSSETIC_DIGOR	oss	far		dard	d a r d	d a r d	T V R T	T A R T	far:Q	504
10688	ORIYA	ori	far		durɔ	d u r ɔ	d u r o	T V R V	T Y R U	far:E	498
10689	BIHARI	mai	far		dur	d u r	d u r	T V R	T Y R	far:E	498
10691	URDU	urd	far		d̪uɾ	d̪ u ɾ	d u r	T V R	T Y R	far:E	498
10692	MARATHI	mar	far		duɾ	d u ɾ	d u r	T V R	T Y R	far:E	498
10693	OLD_CHURCH_SLAVONIC	chu	far		dɑlɛtʃɛ	d ɑ l ɛ t ʃ ɛ	d o l E t S E	T V R V T S V	T A L E T S E	far:D	497
10694	SERBO-CROATIAN	srp	far		daˈlɛ̌kɔ	d a ˈl ɛ̌ k ɔ	d a l E k o	T V R V K V	T A L E K U	far:D	497
10695	BULGARIAN	bul	far		dəˈlɛtʃɘ	d ə ˈl ɛ t ʃ ɘ	d I l E t S I	T V R V T S V	T E L E T S E	far:D	497
10696	MACEDONIAN	mkd	far		ˈdalɛku	ˈd a l ɛ k u	d a l E k u	T V R V K V	T A L E K Y	far:D	497
10697	RUSSIAN	rus	far		dalʲɛkɔ	d a lʲ ɛ k ɔ	d a l E k o	T V R V K V	T A L E K U	far:D	497
10698	POLISH	pol	far		daˈlɛkɔ	d a ˈl ɛ k ɔ	d a l E k o	T V R V K V	T A L E K U	far:D	497
10699	BELARUSIAN	bel	far		daˈlʲɔka	d a ˈlʲ ɔ k a	d a l o k a	T V R V K V	T A L U K A	far:D	497
10700	UKRAINIAN	ukr	far		daˈɫɛkɔ	d a ˈɫ ɛ k ɔ	d a l E k o	T V R V K V	T A L E K U	far:D	497
10701	SLOVAK	slk	far		ˈɟalɛkɔ	ˈɟ a l ɛ k ɔ	C a l E k o	K V R V K V	C A L E K U	far:D	497
10702	CZECH	ces	far		ˈdalɛkɔ	ˈd a l ɛ k ɔ	d a l E k o	T V R V K V	T A L E K U	far:D	497
10703	SORBIAN_UPPER	hsb	far		ˈdalɔkɔ	ˈd a l ɔ k ɔ	d a l o k o	T V R V K V	T A L U K U	far:D	497
10704	SORBIAN_LOWER	dsb	far		ˈdalʲɔkɔ	ˈd a lʲ ɔ k ɔ	d a l o k o	T V R V K V	T A L U K U	far:D	497
10705	SLOVENIAN	slv	far		ˈdǎːlɛtʃ	ˈd ǎː l ɛ t ʃ	d a l E t S	T V R V T S	T A L E T S	far:D	497
10706	OLD_NORSE	non	far		lanɣt	l a n ɣ t	l a n x t	R V N K T	L A N G T	far:M	502
10707	OLD_NORSE	non	far		ˈfjarːi	ˈf j a rː i	f y a r i	P J V R V	B J A R I	far:B	496
10708	ICELANDIC	isl	far		ˈlauŋɡ̊t	ˈl au ŋ ɡ̊ t	l a N g t	R V N K T	L A N K T	far:M	502
10709	ICELANDIC	isl	far		ˈfjarːɪ	ˈf j a rː ɪ	f y a r i	P J V R V	B J A R I	far:B	496
10710	FAROESE	fao	far		lɛŋkt_ˈb̥ʊɻ̊ʈʊɹ	l ɛ ŋ k t ˈb̥ ʊ ɻ̊ ʈ ʊ ɹ	l E N k t b u L t u r	R V N K T P V R T V R	L E N K T P Y R T Y R	far:M	502
10711	FAROESE	fao	far		fjaɻ̊ʈ	f j a ɻ̊ ʈ	f y a L t	P J V R T	B J A R T	far:B	496
10712	NORWEGIAN_RIKSMAL	nor	far		laŋkt	l a ŋ k t	l a N k t	R V N K T	L A N K T	far:M	502
10713	NORWEGIAN_RIKSMAL	nor	far		fjæːɳ	f j æː ɳ	f y E n	P J V N	B J E N	far:B	496
10714	STAVANGERSK		far		laŋkt_ˈbɔ̀ʁtə	l a ŋ k t ˈb ɔ̀ ʁ t ə	l a N k t b o G t I	R V N K T P V R T V	L A N K T P U R T E	far:M	502
10715	OLD_SWEDISH		far		laŋkt	l a ŋ k t	l a N k t	R V N K T	L A N K T	far:M	502
10716	OLD_SWEDISH		far		fjæːr	f j æː r	f y E r	P J V R	B J E R	far:B	496
10717	SWEDISH	swe	far		lɔŋkt_ˈbɔ̀ʈːa	l ɔ ŋ k t ˈb ɔ̀ ʈː a	l o N k t b o t a	R V N K T P V T V	L U N K T P U T A	far:M	502
10718	SWEDISH	swe	far		ˈfjæ̀rːan	ˈf j æ̀ rː a n	f y E r a n	P J V R V N	B J E R A N	far:B	496
10719	ELFDALIAN	qov	far		ˌlɑʉŋgt_ˈbrotː	ˌl ɑʉ ŋ g t ˈb r o tː	l o N g t b r o t	R V N K T P R V T	L A N K T P R U T	far:M	502
10720	DANISH	dan	far		lɑŋɡ̊d̥	l ɑ ŋ ɡ̊ d̥	l o N g d	R V N K T	L A N K T	far:M	502
10721	DANISH	dan	far		fjɛɐ̯n	f j ɛɐ̯ n	f y E n	P J V N	B J E N	far:B	496
10722	DANISH_FJOLDE		far		lɔːŋd	l ɔː ŋ d	l o N d	R V N T	L U N T	far:M	502
10723	GUTNISH_LAU		far		ˈlaŋɡt	ˈl a ŋ ɡ t	l a N g t	R V N K T	L A N K T	far:M	502
10724	ENGLISH	eng	far		fɑ:	f ɑ:	f o	P V	B A	far:B	496
10726	DUTCH	nld	far		vɛr	v ɛ r	v E r	W V R	B E R	far:B	496
10727	GERMAN	deu	far		vait	v ai t	v a t	W V T	B A T	far:G	499
10728	LATIN	lat	far		ˈlongeː	ˈl o n g eː	l o n g e	R V N K V	L U N K E	far:M	502
10729	LATIN	lat	far		ˈprokul	ˈp r o k u l	p r o k u l	P R V K V R	P R U K Y L	far:B	496
10730	CATALAN	cat	far		ʎuɲ	ʎ u ɲ	l u H	R V N	L Y N	far:M	502
10731	PORTUGUESE	por	far		ˈlõʒɨ	ˈl õ ʒ ɨ	l o Z I	R V S V	L U S I	far:M	502
10732	SPANISH	spa	far		lexos	l e x o s	l e x o s	R V K V S	L E G U S	far:N	503
10733	FRENCH	fra	far		lwɛ̃	l w ɛ̃	l w E	R W V	L W E	far:M	502
10734	ITALIAN	ita	far		lontano	l o n t a n o	l o n t a n o	R V N T V N V	L U N T A N U	far:M	502
10735	OLD_IRISH	sga	far		ɸoda	ɸ o d a	f o d a	P V T V	B U T A	far:L	501
5696	ANCIENT_GREEK	grc	fat		dɛːmós	d ɛː m ó s	d E m o s	T V M V S	T E M U S	fat:C	510
5697	ANCIENT_GREEK	grc	fat		lípos	l í p o s	l i p o s	R V P V S	L I P U S	fat:J	516
5698	GREEK	ell	fat		ˈlipo̞s	ˈl i p o̞ s	l i p o s	R V P V S	L I P U S	fat:J	516
5699	GREEK	ell	fat		ˈpaxo̞s	ˈp a x o̞ s	p a x o s	P V K V S	P A G U S	fat:Ah	506
5700	GREEK	ell	fat		ˈksiŋɟi	ˈk s i ŋ ɟ i	k s i N C i	K S V N K V	K S I N C I	fat:Ai	507
5703	OSSETIC_IRON	oss	fat		šoj	š o j	S o y	S V J	S U J	fat:W	522
5704	OSSETIC_DIGOR	oss	fat		sojnɐ	s o j n ɐ	s o y n a	S V J N V	S U J N E	fat:W	522
5706	ORIYA	ori	fat		moʈa	m o ʈ a	m o t a	M V T V	M U T A	fat:Q	518
5707	ORIYA	ori	fat		čɔrbi	č ɔ r b i	C o r b i	K V R P V	C U R P I	fat:D	511
5708	BIHARI	mai	fat		tel	t e l	t e l	T V R	T E L	fat:S	519
5709	BIHARI	mai	fat		moʈ	m o ʈ	m o t	M V T	M U T	fat:Q	518
5711	URDU	urd	fat		ʧəɾbi	ʧ ə ɾ b i	C I r b i	K V R P V	C E R P I	fat:D	511
5712	MARATHI	mar	fat		tʃəɾbi	t ʃ ə ɾ b i	t S I r b i	T S V R P V	T S E R P I	fat:D	511
5713	OLD_CHURCH_SLAVONIC	chu	fat		tukʊ̆	t u k ʊ̆	t u k u	T V K V	T Y K Y	fat:H	514
