ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
6575	Alak	alk	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
6576	Bahnar-Golar	bdq	hot/warm		tɔʔ	t ɔ ʔ	t o 7	T V H	T U H	5	1044
6577	Bahnar-Kontum	bdq	hot/warm		tɔʔ	t ɔ ʔ	t o 7	T V H	T U H	5	1044
6578	Bahnar-Pleiku	bdq	hot/warm		tɔʔ	t ɔ ʔ	t o 7	T V H	T U H	5	1044
6579	Brao	brb	hot/warm		duʔ	d u ʔ	d u 7	T V H	T Y H	5	1044
6583	Cua	cua	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
6584	Halang	hal	hot/warm		tuʔ	t u ʔ	t u 7	T V H	T Y H	5	1044
6585	Jeh	jeh	hot/warm		tuʔ	t u ʔ	t u 7	T V H	T Y H	5	1044
6586	Jru-Laven	lbo	hot/warm		ʔtoʔ	ʔ t o ʔ	7 t o 7	H T V H	H T U H	5	1044
6592	Mnong-Rölöm	mng	hot/warm		doh	d o h	d o h	T V H	T U H	6	1049
6593	Nyaheun	nev	hot/warm		doʔ	d o ʔ	d o 7	T V H	T U H	5	1044
6595	Rengao	ren	hot/warm		tuʔ	t u ʔ	t u 7	T V H	T Y H	5	1044
6597	Sedang	sed	hot/warm		to	t o	t o	T V	T U	5	1044
6598	Sre	kpm	hot/warm		duh	d u h	d u h	T V H	T Y H	6	1049
6599	Sre	kpm	hot/warm		ram	r a m	r a m	R V M	R A M	9	1052
6600	Stieng	sti	hot/warm		doh	d o h	d o h	T V H	T U H	6	1049
6602	Bru-Talan	oog	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
6603	In	irr	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
6604	Katu-AnDiem	ktv	hot/warm		ŋan	ŋ a n	N a n	N V N	N A N	11	1023
6605	Katu-AnDiem	ktv	hot/warm		pɨjh	p ɨ j h	p I y h	P V J H	P I J H	7	1050
6607	Kui(Sriwises1978)	kdt	hot/warm		səʔam	s ə ʔ a m	s I 7 a m	S V H V M	S E H A M	12	1024
6608	Nge'	ngt	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
6609	TaOi	tto	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
6610	Khasi	khi	hot/warm		sʔaːc	s ʔ aː c	s 7 a T	S H V K	S H A C	13	1025
6613	Pnar	pbv	hot/warm		ʧit	ʧ i t	C i t	K V T	C I T	14	1026
6614	War-Lamin	aml	hot/warm		dɒt	d ɒ t	d o t	T V T	T O T	16	1027
6615	Khmer-Surin	kxm	hot/warm		kdaw	k d a w	k d a w	K T V W	K T A W	5	1044
6616	Khmer-Standard	khm	hot/warm		kdaw	k d a w	k d a w	K T V W	K T A W	5	1044
6617	Idu	tyh	hot/warm		púʔ	p ú ʔ	p u 7	P V H	P Y H	17	1028
6618	Khmu-Cuang	kjg	hot/warm		hʔɨm	h ʔ ɨ m	h 7 I m	H H V M	H H I M	12	1024
6619	Khmu-Cuang	kjg	hot/warm		waːr	w aː r	w a r	W V R	W A R	19	1029
6621	Khmu-Yuan	kjg	hot/warm		wàːr	w àː r	w a r	W V R	W A R	19	1029
6624	Mal-T'in	mlf	hot/warm		ʔɔh	ʔ ɔ h	7 o h	H V H	H U H	21	1030
6625	Mal-T'in	mlf	hot/warm		jɔːn	j ɔː n	y o n	J V N	J U N	22	1031
6634	Bugan	bbh	hot/warm		ʔa̱m³¹	ʔ a̱ m	7 a m	H V M	H A M	12	1024
6635	Mang	zng	hot/warm		ɗit⁷	ɗ i t	d i t	T V T	T I T	29	1032
6636	Mon	mnw	hot/warm		kataɔ	k a t aɔ	k a t a	K V T V	K A T A	5	1044
6637	Nyahkur	cbn	hot/warm		kətáw	k ə t á w	k I t a w	K V T V W	K E T A W	5	1044
6641	Gorum	pcj	hot/warm		balbal	b a l b a l	b a l b a l	P V R P V R	P A L P A L	32	1034
6642	Gorum	pcj	hot/warm		jḛn	j ḛ n	y e n	J V N	J E N	33	1035
6645	Kharia	khr	hot/warm		lɔˀblɔˀb	l ɔˀ b l ɔˀ b	l o b l o b	R V P R V P	L U P L U P	35	1036
6646	Kharia	khr	hot/warm		uˈrum	u ˈr u m	u r u m	V R V M	Y R Y M	36	1037
6652	Santali	sat	hot/warm		lolo	l o l o	l o l o	R V R V	L U L U	39	1038
6653	Sora	srb	hot/warm		tʌɡe	t ʌ ɡ e	t o g e	T V K V	T E K E	30	1033
6654	Sora	srb	hot/warm		paɲúm	p a ɲ ú m	p a H u m	P V N V M	P A N Y M	40	1039
6655	Car	caq	hot/warm		ɾaːc	ɾ aː c	r a T	R V K	R A C	41	1040
6657	Nancowri	ncb	hot/warm		taɲ	t a ɲ	t a H	T V N	T A N	8	1051
6658	Nancowri	ncb	hot/warm		ʔoj	ʔ o j	7 o y	H V J	H U J	42	1041
6670	Lawa(Ratanakul)	lcp	hot/warm		ʔop	ʔ o p	7 o p	H V P	H U P	49	1043
6672	ManMet	mml	hot/warm		ɤm³⁵	ɤ m	o m	V M	E M	12	1024
6673	Palaung-Dara'ang	pce	hot/warm		sɔdaɁ	s ɔ d a Ɂ	s o d a 7	S V T V H	S U T A H	45	1042
6674	Palaung-Kalaw	pce	hot/warm		kahuaʔ	ka huaʔ	k h	K H	K H	49	1043
6676	Palaung-Namhsan	pce	hot/warm		tat	t a t	t a t	T V T	T A T	50	1045
6677	Riang-Sak	ril	hot/warm		sᵊʔɤm¹	sᵊ ʔ ɤ m	s 7 o m	S H V M	S H E M	12	1024
6681	Wa-Praok	prk	hot/warm		sʔaɔh	s ʔ aɔ h	s 7 a h	S H V H	S H A H	54	1046
6690	Karii	pkt	hot/warm		paːt	p aː t	p a t	P V T	P A T	58	1048
6691	Karii	pkt	hot/warm		tʔɨ̀mʔ	t ʔ ɨ̀ m ʔ	t 7 I m 7	T H V M H	T H I M H	12	1024
6693	Ruc	scb	hot/warm		tɨ́ːl	t ɨ́ː l	t I l	T V R	T I L	58	1048
6698	Vietnamese	vie	hot/warm		ấm	a m	a m	V M	A M	12	1024
6699	Vietnamese	vie	hot/warm		nóng	n ó n g	n o n g	N V N K	N U N K	56	1047
6709	Alak	alk	house		ɲɲiː	ɲɲ iː	H i	N V	N I	3	1058
6710	Bahnar-Golar	bdq	house		hnam	h n a m	h n a m	H N V M	H N A M	4	1059
6711	Bahnar-Kontum	bdq	house		hnam	h n a m	h n a m	H N V M	H N A M	4	1059
6712	Bahnar-Pleiku	bdq	house		hnaːm	h n aː m	h n a m	H N V M	H N A M	4	1059
6713	Brao	brb	house		hnaːm	h n aː m	h n a m	H N V M	H N A M	4	1059
6717	Cua	cua	house		hɲɨː	h ɲ ɨː	h H I	H N V	H N I	3	1058
6718	Halang	hal	house		ɲi̤ə	ɲ i̤ə	H i	N V	N I	3	1058
6719	Jeh	jeh	house		ɲi̤ah	ɲ i̤a h	H i h	N V H	N I H	3	1058
6720	Jru-Laven	lbo	house		hnəːm	h n əː m	h n I m	H N V M	H N E M	4	1059
6724	Mnong-Rölöm	mng	house		hih	h i h	h i h	H V H	H I H	3	1058
6725	Mnong-Rölöm	mng	house		tɨm	t ɨ m	t I m	T V M	T I M	7	1060
6726	Nyaheun	nev	house		ɲ̊raːm	ɲ̊ r aː m	H r a m	N R V M	N R A M	4	1059
6728	Rengao	ren	house		hɲe̤ː	h ɲ e̤ː	h H e	H N V	H N E	3	1058
6730	Sedang	sed	house		hnɛ̰əm	h n ɛ̰ə m	h n E m	H N V M	H N E M	4	1059
6731	Sedang	sed	house		hŋɛj	h ŋ ɛ j	h N E y	H N V J	H N E J	3	1058
6732	Sre	kpm	house		hiw	h i w	h i w	H V W	H I W	3	1058
6733	Stieng	sti	house		ɲiː	ɲ iː	H i	N V	N I	3	1058
6736	Bru-Talan	oog	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6737	Bru-Ubon	bru	house		dʉŋ	d ʉ ŋ	d I N	T V N	T Y N	2	1057
6738	In	irr	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6739	Katang	kgd	house		dʊŋ	d ʊ ŋ	d u N	T V N	T Y N	2	1057
6740	Katu-AnDiem	ktv	house		ɗɔŋ	ɗ ɔ ŋ	d o N	T V N	T U N	2	1057
6742	Kui(Sriwises1978)	kdt	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6743	Kui(Huffman1979)	kdt	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6745	Mankong	sss	house		doŋ	d o ŋ	d o N	T V N	T U N	2	1057
6746	Nge'	ngt	house		duoŋ	d uo ŋ	d u N	T V N	T Y N	2	1057
6747	Pacoh	pac	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6748	So-Khammouane	sss	house		doŋ	d o ŋ	d o N	T V N	T U N	2	1057
6749	So-SakonNakhon	sss	house		doŋ	d o ŋ	d o N	T V N	T U N	2	1057
6750	Souei-Saravan	kdt	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6751	TaOi	tto	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
6752	Khasi	khi	house		jiŋ	j i ŋ	y i N	J V N	J I N	8	1061
6755	Pnar	pbv	house		juŋ	j u ŋ	y u N	J V N	J Y N	8	1061
6756	War-Lamin	aml	house		sni	s n i	s n i	S N V	S N I	b	1063
6757	Khmer-Surin	kxm	house		ptiah	p t ia h	p t i h	P T V H	P T I H	e	1064
6758	Khmer-Standard	khm	house		pteah	p t ea h	p t e h	P T V H	P T E H	e	1064
6759	Idu	tyh	house		jîŋ	j î ŋ	y i N	J V N	J I N	9	1062
6760	Khmu-Cuang	kjg	house		gaːŋ	g aː ŋ	g a N	K V N	K A N	9	1062
6762	Khmu-Yuan	kjg	house		kàːŋ	k àː ŋ	k a N	K V N	K A N	9	1062
6764	Mal-T'in	mlf	house		kiaŋ	k ia ŋ	k i N	K V N	K I N	9	1062
6770	Bugan	bbh	house		ȵu⁵⁵	ȵ u	H u	N V	N Y	3	1058
6771	Mang	zng	house		ɲua⁶	ɲ ua	H u	N V	N Y	3	1058
6772	Mon	mnw	house		hɑɛʔ	h ɑɛ ʔ	h o 7	H V H	H A H	3	1058
6773	Nyahkur	cbn	house		hĩ́ːʔ	h ĩ́ː ʔ	h i 7	H V H	H I H	3	1058
6776	Gorum	pcj	house		a̰suŋ	a̰ s u ŋ	a s u N	V S V N	A S Y N	3	1058
6779	Kharia	khr	house		oɡaʔ	o ɡ a ʔ	o g a 7	V K V H	U K A H	12	1053
6780	Kharia	khr	house		ɔʔ	ɔ ʔ	o 7	V H	U H	13	1054
6785	Santali	sat	house		oɽaʔ	o ɽ a ʔ	o r a 7	V R V H	U R A H	13	1054
6786	Sora	srb	house		sɨŋ	s ɨ ŋ	s I N	S V N	S I N	3	1058
6787	Car	caq	house		pateː	p a t eː	p a t e	P V T V	P A T E	14	1055
6789	Nancowri	ncb	house		ɲiː	ɲ iː	H i	N V	N I	3	1058
6799	Lawa(Ratanakul)	lcp	house		ɲɨəʔ	ɲ ɨə ʔ	H I 7	N V H	N I H	3	1058
6801	ManMet	mml	house		ȵăʔ⁵³	ȵ ă ʔ	H a 7	N V H	N A H	3	1058
6803	Palaung-Dara'ang	pce	house		kaŋ	k a ŋ	k a N	K V N	K A N	9	1062
6804	Palaung-Kalaw	pce	house		kaːk	k aː k	k a k	K V K	K A K	9	1062
6806	Palaung-Namhsan	pce	house		gaŋ	g a ŋ	g a N	K V N	K A N	9	1062
6807	Riang-Sak	ril	house		kɑŋ²	k ɑ ŋ	k o N	K V N	K A N	9	1062
6811	Wa-Praok	prk	house		ɲa̤ʔ	ɲ a̤ ʔ	H a 7	N V H	N A H	3	1058
6818	Karii	pkt	house		krnɔːʔ	k r n ɔː ʔ	k r n o 7	K R N V H	K R N U H	18	1056
6821	Ruc	scb	house		ɲaː²	ɲ aː	H a	N V	N A	3	1058
6824	Vietnamese	vie	house		nhà	n h à	n h a	N H V	N H A	3	1058
6825	Alak	alk	hundred		klam	k l a m	k l a m	K R V M	K L A M	1	1065
6826	Bahnar-Golar	bdq	hundred		hrɛŋ	h r ɛ ŋ	h r E N	H R V N	H R E N	2	1068
6827	Bahnar-Kontum	bdq	hundred		hrɛŋ	h r ɛ ŋ	h r E N	H R V N	H R E N	2	1068
6828	Bahnar-Pleiku	bdq	hundred		hrɛŋ	h r ɛ ŋ	h r E N	H R V N	H R E N	2	1068
6832	Cua	cua	hundred		hrɛːk	h r ɛː k	h r E k	H R V K	H R E K	2	1068
6833	Halang	hal	hundred		rɛaŋ	r ɛa ŋ	r E N	R V N	R E N	2	1068
6834	Jeh	jeh	hundred		rɛːŋ	r ɛː ŋ	r E N	R V N	R E N	2	1068
6835	Jru-Laven	lbo	hundred		klam	k l a m	k l a m	K R V M	K L A M	1	1065
6837	Mnong-Rölöm	mng	hundred		hieŋ	h ie ŋ	h i N	H V N	H I N	2	1068
6838	Nyaheun	nev	hundred		klam	k l a m	k l a m	K R V M	K L A M	1	1065
6840	Rengao	ren	hundred		hriːŋ	h r iː ŋ	h r i N	H R V N	H R I N	2	1068
6842	Sedang	sed	hundred		hrḭŋ	h r ḭ ŋ	h r i N	H R V N	H R I N	2	1068
6843	Sre	kpm	hundred		rhiaŋ	r h ia ŋ	r h i N	R H V N	R H I N	2	1068
6844	Stieng	sti	hundred		rhiaŋ	r h ia ŋ	r h i N	R H V N	R H I N	2	1068
6847	Bru-Talan	oog	hundred		moːjkəlamʔ	moːj kəlamʔ	m k	M K	M K	1	1065
6848	In	irr	hundred		mo̰ːjkəlamˀ	mo̰ːj kəlamˀ	m k	M K	M K	1	1065
6849	Katu-AnDiem	ktv	hundred		harieŋ	h a r ie ŋ	h a r i N	H V R V N	H A R I N	2	1068
6850	Mankong	sss	hundred		muəjkulam	muəj kulam	m k	M K	M K	1	1065
6851	Nge'	ngt	hundred		kləm	k l ə m	k l I m	K R V M	K L E M	1	1065
6852	Pacoh	pac	hundred		kulam	k u l a m	k u l a m	K V R V M	K Y L A M	1	1065
6853	So-Khammouane	sss	hundred		mṳəjkulam	mṳəj kulam	m k	M K	M K	1	1065
6854	So-SakonNakhon	sss	hundred		mṳəjkulam	mṳəj kulam	m k	M K	M K	1	1065
6855	Souei-Saravan	kdt	hundred		məːjʔklam	məːjʔ klam	m k	M K	M K	1	1065
6856	TaOi	tto	hundred		klamˀ	k l a mˀ	k l a m	K R V M	K L A M	1	1065
6857	Khasi	khi	hundred		ʃispʰaʔ	ʃ i s pʰ a ʔ	S i s p a 7	S V S P V H	S I S P A H	3	1069
6860	Pnar	pbv	hundred		ʧispaʔ	ʧ i s p a ʔ	C i s p a 7	K V S P V H	C I S P A H	3	1069
6861	War-Lamin	aml	hundred		swaʔ	s w a ʔ	s w a 7	S W V H	S W A H	3	1069
6862	Khmer-Surin	kxm	hundred		ruaj	r ua j	r u y	R V J	R Y J	4	1070
6863	Khmer-Standard	khm	hundred		rɔːj	r ɔː j	r o y	R V J	R U J	4	1070
6864	Idu	tyh	hundred		hàmglâ̰m	h à m g l â̰ m	h a m g l a m	H V M K R V M	H A M K L A M	1	1065
6865	Khmu-Cuang	kjg	hundred		rɔːj	r ɔː j	r o y	R V J	R U J	4	1070
6867	Khmu-Yuan	kjg	hundred		rɔ̀ːj	r ɔ̀ː j	r o y	R V J	R U J	4	1070
6869	Mal-T'in	mlf	hundred		klɨʔ	k l ɨ ʔ	k l I 7	K R V H	K L I H	5	1071
6872	Bugan	bbh	hundred		ʑu³¹	ʑ u	Z u	S V	S Y	6	1072
6873	Mang	zng	hundred		raːn⁶	r aː n	r a n	R V N	R A N	7	1073
6874	Mon	mnw	hundred		klɔm	k l ɔ m	k l o m	K R V M	K L U M	1	1065
6875	Nyahkur	cbn	hundred		cʰòːk	cʰ òː k	T o k	K V K	C U K	8	1074
6879	Car	caq	hundred		fɛːnɔŋ	f ɛː n ɔ ŋ	f E n o N	P V N V N	B E N U N	12	1066
6884	Palaung-Dara'ang	pce	hundred		majauh	m a j au h	m a y a h	M V J V H	M A J A H	14	1067
6885	Palaung-Kalaw	pce	hundred		ʔumajaoh	ʔu ma jaoh	7 m y	H M J	H M J	14	1067
6887	Palaung-Namhsan	pce	hundred		pəriah	p ə r ia h	p I r i h	P V R V H	P E R I H	14	1067
6888	Riang-Sak	ril	hundred		pᵊrjɑʔ²	pᵊ r j ɑ ʔ	p r y o 7	P R J V H	P R J A H	14	1067
6892	Wa-Praok	prk	hundred		sji̤ɛh	s j i̤ɛ h	s y i h	S J V H	S J I H	14	1067
6898	Ruc	scb	hundred		klam¹	k l a m	k l a m	K R V M	K L A M	1	1065
6899	Vietnamese	vie	hundred		trăm	t r ă m	t r a m	T R V M	T R A M	1	1065
7036	Alak	alk	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7037	Bahnar-Golar	bdq	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7038	Bahnar-Kontum	bdq	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7039	Bahnar-Pleiku	bdq	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7040	Brao	brb	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7044	Cua	cua	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7045	Halang	hal	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7046	Jeh	jeh	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7047	Jru-Laven	lbo	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7051	Mnong-Rölöm	mng	intestine/gut		pruec	p r ue c	p r u T	P R V K	P R Y C	6	1084
7052	Nyaheun	nev	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7054	Rengao	ren	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
7056	Sedang	sed	intestine/gut		kleə	k l eə	k l e	K R V	K L E	5	1083
7057	Sre	kpm	intestine/gut		prɔc	p r ɔ c	p r o T	P R V K	P R U C	6	1084
7058	Stieng	sti	intestine/gut		prɔːc	p r ɔː c	p r o T	P R V K	P R U C	6	1084
7061	Bru-Talan	oog	intestine/gut		rɔːjʔ	r ɔː j ʔ	r o y 7	R V J H	R U J H	6	1084
7062	Bru-Ubon	bru	intestine/gut		rṳajʔ	r ṳa j ʔ	r i y 7	R V J H	R Y J H	6	1084
7063	In	irr	intestine/gut		rɔːjʔ	r ɔː j ʔ	r o y 7	R V J H	R U J H	6	1084
7064	Katang	kgd	intestine/gut		ruːajʔ	r uːa j ʔ	r u y 7	R V J H	R Y J H	6	1084
7065	Katu-AnDiem	ktv	intestine/gut		ruac	r ua c	r u T	R V K	R Y C	6	1084
7066	Kui(Sriwises1978)	kdt	intestine/gut		rṳac	r ṳa c	r i T	R V K	R Y C	6	1084
7067	Kui(Huffman1979)	kdt	intestine/gut		lo̤ac	l o̤a c	l o T	R V K	L U C	6	1084
7069	Mankong	sss	intestine/gut		rṳajʔ	r ṳa j ʔ	r i y 7	R V J H	R Y J H	6	1084
7070	Nge'	ngt	intestine/gut		rɔːc	r ɔː c	r o T	R V K	R U C	6	1084
7071	Pacoh	pac	intestine/gut		rɔːjʔ	r ɔː j ʔ	r o y 7	R V J H	R U J H	6	1084
7072	So-Khammouane	sss	intestine/gut		roa̤c	r oa̤ c	r o T	R V K	R U C	6	1084
7073	So-SakonNakhon	sss	intestine/gut		ro̤at	r o̤a t	r o t	R V T	R U T	6	1084
7074	Souei-Saravan	kdt	intestine/gut		rɔːc	r ɔː c	r o T	R V K	R U C	6	1084
7075	TaOi	tto	intestine/gut		rɔːjʔ	r ɔː j ʔ	r o y 7	R V J H	R U J H	6	1084
7076	Khasi	khi	intestine/gut		snier	s n ie r	s n i r	S N V R	S N I R	7	1085
7078	Pnar	pbv	intestine/gut		snɛr	s n ɛ r	s n E r	S N V R	S N E R	7	1085
7079	War-Lamin	aml	intestine/gut		nɒr	n ɒ r	n o r	N V R	N O R	7	1085
7080	Khmer-Standard	khm	intestine/gut		ʔɑntaʔ	ʔ ɑ n t a ʔ	7 o n t a 7	H V N T V H	H A N T A H	8	1086
7081	Idu	tyh	intestine/gut		rîəŋ	r îə ŋ	r i N	R V N	R I N	9	1087
7082	Khmu-Cuang	kjg	intestine/gut		ʰriəŋ	ʰr iə ŋ	r i N	R V N	R I N	9	1087
7084	Khmu-Yuan	kjg	intestine/gut		ríaŋ	r ía ŋ	r i N	R V N	R I N	9	1087
7086	Mal-T'in	mlf	intestine/gut		nsaŋ	n s a ŋ	n s a N	N S V N	N S A N	9	1087
7091	Bugan	bbh	intestine/gut		ŋguaŋ¹³ɕɛ¹³	ŋguaŋ¹³ ɕɛ¹³	N S	N S	N S	10	1075
7092	Mang	zng	intestine/gut		pat⁷	p a t	p a t	P V T	P A T	11	1076
7093	Mon	mnw	intestine/gut		krɔt	k r ɔ t	k r o t	K R V T	K R U T	12	1077
7094	Nyahkur	cbn	intestine/gut		klúːc	k l úː c	k l u T	K R V K	K L Y C	12	1077
7097	Gorum	pcj	intestine/gut		ɖuluŋ	ɖ u l u ŋ	d u l u N	T V R V N	T Y L Y N	14	1079
7100	Kharia	khr	intestine/gut		poʈa	po ʈa	p t	P T	P T	15	1080
7105	Santali	sat	intestine/gut		lac˺tet˺	lac˺ tet˺	l t	R T	L T	13	1078
7106	Santali	sat	intestine/gut		pɔʈa	p ɔ ʈ a	p o t a	P V T V	P U T A	15	1080
7107	Sora	srb	intestine/gut		onˈloidɑː	o n ˈl oi d ɑː	o n l o d o	V N R V T V	U N L U T A	15	1080
7108	Car	caq	intestine/gut		puhuː	p u h uː	p u h u	P V H V	P Y H Y	16	1081
7110	Nancowri	ncb	intestine/gut		pufuák	p u f uá k	p u f u k	P V P V K	P Y B Y K	16	1081
7119	Lawa(Ratanakul)	lcp	intestine/gut		viək	v iə k	v i k	W V K	B I K	4	1082
7121	ManMet	mml	intestine/gut		ɕɛn³¹vɛk⁵³	ɕɛn³¹ vɛk⁵³	S v	S W	S B	4	1082
7123	Palaung-Dara'ang	pce	intestine/gut		ɲɔŋvac	ɲ ɔ ŋ v a c	H o N v a T	N V N W V K	N U N B A C	4	1082
7124	Palaung-Kalaw	pce	intestine/gut		jaŋvat	jaŋ vat	y v	J W	J B	4	1082
7126	Palaung-Namhsan	pce	intestine/gut		rɛŋ	r ɛ ŋ	r E N	R V N	R E N	9	1087
7129	Wa-Praok	prk	intestine/gut		va̤c	v a̤ c	v a T	W V K	B A C	4	1082
7135	Karii	pkt	intestine/gut		rɔːc	r ɔː c	r o T	R V K	R U C	6	1084
7138	Ruc	scb	intestine/gut		ruoc⁸	r uo c	r u T	R V K	R Y C	6	1084
7141	Vietnamese	vie	intestine/gut		ruột	r uộ t	r u t	R V T	R Y T	6	1084
7142	Alak	alk	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7143	Bahnar-Golar	bdq	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7144	Bahnar-Kontum	bdq	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7145	Bahnar-Pleiku	bdq	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7146	Brao	brb	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7149	Halang	hal	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7150	Jeh	jeh	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7151	Jru-Laven	lbo	iron		məːm	m əː m	m I m	M V M	M E M	1	1088
7153	Mnong-Rölöm	mng	iron		drap	d r a p	d r a p	T R V P	T R A P	3	1099
7154	Nyaheun	nev	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7155	Rengao	ren	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
7157	Sedang	sed	iron		mɛ̰əm	m ɛ̰ə m	m E m	M V M	M E M	1	1088
7158	Sre	kpm	iron		lɔs	l ɔ s	l o s	R V S	L U S	2	1094
7160	Bru-Talan	oog	iron		taˀa	t aˀa	t a	T V	T A	5	1100
7161	Bru-Ubon	bru	iron		təːʔ	t əː ʔ	t I 7	T V H	T E H	5	1100
7162	In	irr	iron		ta̰ːʔ	t a̰ː ʔ	t a 7	T V H	T A H	5	1100
7163	Katang	kgd	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7164	Kui(Sriwises1978)	kdt	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7165	Kui(Huffman1979)	kdt	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7166	Mankong	sss	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7167	Nge'	ngt	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7168	Pacoh	pac	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7169	So-Khammouane	sss	iron		taːk	t aː k	t a k	T V K	T A K	5	1100
7170	So-SakonNakhon	sss	iron		taːk	t aː k	t a k	T V K	T A K	5	1100
7171	Souei-Saravan	kdt	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7172	TaOi	tto	iron		taːʔ	t aː ʔ	t a 7	T V H	T A H	5	1100
7173	Khasi	khi	iron		nar	n a r	n a r	N V R	N A R	6	1101
7174	Pnar	pbv	iron		nar	n a r	n a r	N V R	N A R	6	1101
7175	War-Lamin	aml	iron		nar	n a r	n a r	N V R	N A R	6	1101
7176	Khmer-Surin	kxm	iron		dɛːɁ	d ɛː Ɂ	d E 7	T V H	T E H	5	1100
7177	Khmer-Standard	khm	iron		daeɁ	d ae Ɂ	d a 7	T V H	T A H	5	1100
7178	Idu	tyh	iron		dɔ́p	d ɔ́ p	d o p	T V P	T U P	7	1102
7179	Khmu-Cuang	kjg	iron		cndroh	c n d r o h	T n d r o h	K N T R V H	C N T R U H	8	1103
7180	Khmu-Cuang	kjg	iron		cəntroː	c ə n t r oː	T I n t r o	K V N T R V	C E N T R U	8	1103
7182	Khmu-Yuan	kjg	iron		cńtròh	c ń t r ò h	T n t r o h	K N T R V H	C N T R U H	8	1103
7186	Bugan	bbh	iron		lou³³	l ou	l o	R V	L U	11	1089
7187	Mang	zng	iron		taːk⁷	t aː k	t a k	T V K	T A K	5	1100
7190	Gorum	pcj	iron		umal	u m a l	u m a l	V M V R	Y M A L	14	1091
7192	Kharia	khr	iron		loha	l o h a	l o h a	R V H V	L U H A	13	1090
7196	Santali	sat	iron		meɽhet˺	m e ɽ h e t˺	m e r h e t	M V R H V T	M E R H E T	14	1091
7197	Sora	srb	iron		lɔaŋ	l ɔa ŋ	l o N	R V N	L U N	13	1090
7198	Car	caq	iron		wet	w e t	w e t	W V T	W E T	15	1092
7199	Nancowri	ncb	iron		karaw	k a r a w	k a r a w	K V R V W	K A R A W	16	1093
7206	ManMet	mml	iron		aŋaŋ³⁵	a ŋaŋ³⁵	a N	V N	A N	21	1095
7208	Palaung-Dara'ang	pce	iron		hin	h i n	h i n	H V N	H I N	22	1096
7209	Palaung-Kalaw	pce	iron		hiːŋ	h iː ŋ	h i N	H V N	H I N	22	1096
7211	Palaung-Namhsan	pce	iron		hir	h i r	h i r	H V R	H I R	22	1096
7212	Riang-Sak	ril	iron		hir¹	h i r	h i r	H V R	H I R	22	1096
7215	Wa-Praok	prk	iron		rʰiam	rʰ ia m	r i m	R V M	R I M	23	1097
7219	Karii	pkt	iron		klɛc	k l ɛ c	k l E T	K R V K	K L E C	25	1098
